pair_name,class_id,n,MMRL_acc,Bayes_acc,delta_acc,Bayes_conf,Bayes_MI,harmful_flip,beneficial_flip
case_B__VS__case_A,0,130,1.0,1.0,0.0,0.9875725507736206,0.004831027705222368,0,0
case_B__VS__case_A,1,60,0.9666666388511658,0.9833333492279053,0.016666710376739502,0.9556418657302856,0.010915379039943218,0,1
case_B__VS__case_A,2,239,1.0,1.0,0.0,0.9978111386299133,0.000484229443827644,0,0
case_B__VS__case_A,3,16,1.0,1.0,0.0,0.9998266100883484,0.00019245674775447696,0,0
case_B__VS__case_A,4,240,1.0,1.0,0.0,0.9896557927131653,0.0023288882803171873,0,0
case_B__VS__case_A,5,13,0.9230769276618958,0.9230769276618958,0.0,0.8563040494918823,0.04760768264532089,0,0
case_B__VS__case_A,6,13,1.0,1.0,0.0,0.9428319931030273,0.020506393164396286,0,0
case_B__VS__case_A,7,14,1.0,1.0,0.0,0.999409019947052,0.00031727971509099007,0,0
case_B__VS__case_A,8,16,0.9375,1.0,0.0625,0.9828386306762695,0.01068894099444151,0,1
case_B__VS__case_A,9,14,0.8571428656578064,0.8571428656578064,0.0,0.889038622379303,0.038675375282764435,0,0
case_B__VS__case_A,10,10,0.8999999761581421,0.8999999761581421,0.0,0.9522734880447388,0.01679755188524723,0,0
case_B__VS__case_A,11,38,1.0,1.0,0.0,0.9996534585952759,0.00012255751062184572,0,0
case_B__VS__case_A,12,29,1.0,1.0,0.0,0.9996926784515381,5.599293581326492e-05,0,0
case_B__VS__case_A,13,12,0.9166666865348816,0.9166666865348816,0.0,0.9553501605987549,0.017600717023015022,0,0
case_B__VS__case_A,14,26,1.0,1.0,0.0,0.9990749359130859,0.0002177740097977221,0,0
case_B__VS__case_A,15,27,1.0,1.0,0.0,0.9678530693054199,0.006655263248831034,0,0
case_B__VS__case_A,16,15,1.0,1.0,0.0,0.9810842871665955,0.006138851400464773,0,0
case_B__VS__case_A,17,12,1.0,1.0,0.0,0.9649519920349121,0.0064476728439331055,0,0
case_B__VS__case_A,18,36,1.0,1.0,0.0,0.9969527125358582,0.0008079350809566677,0,0
case_B__VS__case_A,19,14,1.0,1.0,0.0,0.9777845144271851,0.011857932433485985,0,0
case_B__VS__case_A,20,17,1.0,1.0,0.0,0.9957209229469299,0.0020229637157171965,0,0
case_B__VS__case_A,21,19,0.5789473652839661,0.6842105388641357,0.10526317358016968,0.7381508350372314,0.0326022244989872,1,3
case_B__VS__case_A,22,32,1.0,1.0,0.0,0.9804068803787231,0.006397284101694822,0,0
case_B__VS__case_A,23,14,0.9285714030265808,0.9285714030265808,0.0,0.9174264073371887,0.020336521789431572,0,0
case_B__VS__case_A,24,21,0.9523809552192688,0.9523809552192688,0.0,0.9249199628829956,0.015363232232630253,0,0
case_B__VS__case_A,25,22,0.9545454382896423,0.9090909361839294,-0.04545450210571289,0.909174382686615,0.02978576347231865,1,0
case_B__VS__case_A,26,21,0.6666666865348816,0.7142857313156128,0.0476190447807312,0.8436636924743652,0.0293393824249506,0,1
case_B__VS__case_A,27,15,1.0,1.0,0.0,0.858932375907898,0.030075769871473312,0,0
case_B__VS__case_A,28,15,0.6000000238418579,0.5333333611488342,-0.06666666269302368,0.6779157519340515,0.03206125646829605,2,1
case_B__VS__case_A,29,18,0.9444444179534912,0.9444444179534912,0.0,0.9521254301071167,0.007783401291817427,0,0
