pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,0,0,130,130,0,0.9875725507736206,0.004831027705222368
case_B__VS__case_A,1,1,58,59,1,0.9576907157897949,0.010405993089079857
case_B__VS__case_A,1,24,1,1,0,0.8347627520561218,0.040969133377075195
case_B__VS__case_A,1,96,1,0,-1,,
case_B__VS__case_A,2,2,239,239,0,0.9978111386299133,0.000484229443827644
case_B__VS__case_A,3,3,16,16,0,0.9998266100883484,0.00019245674775447696
case_B__VS__case_A,4,4,240,240,0,0.9896557927131653,0.0023288882803171873
case_B__VS__case_A,5,5,12,12,0,0.8702170848846436,0.04492237791419029
case_B__VS__case_A,5,98,1,1,0,0.6893472671508789,0.07983142137527466
case_B__VS__case_A,6,6,13,13,0,0.9428319931030273,0.020506393164396286
case_B__VS__case_A,7,7,14,14,0,0.999409019947052,0.00031727971509099007
case_B__VS__case_A,8,8,15,16,1,0.9828386306762695,0.01068894099444151
case_B__VS__case_A,8,91,1,0,-1,,
case_B__VS__case_A,9,9,12,12,0,0.9557191729545593,0.011980249546468258
case_B__VS__case_A,9,23,1,0,-1,,
case_B__VS__case_A,9,35,0,1,1,0.3181118965148926,0.23582792282104492
case_B__VS__case_A,9,72,1,0,-1,,
case_B__VS__case_A,9,96,0,1,1,0.6597989201545715,0.16186439990997314
case_B__VS__case_A,10,10,9,9,0,0.9770795106887817,0.006055151578038931
case_B__VS__case_A,10,51,1,1,0,0.7290201187133789,0.1134791374206543
case_B__VS__case_A,11,11,38,38,0,0.9996534585952759,0.00012255751062184572
case_B__VS__case_A,12,12,29,29,0,0.9996926784515381,5.599293581326492e-05
case_B__VS__case_A,13,13,11,11,0,0.996981680393219,0.000813832099083811
case_B__VS__case_A,13,66,1,1,0,0.49740296602249146,0.202256441116333
case_B__VS__case_A,14,14,26,26,0,0.9990749359130859,0.0002177740097977221
case_B__VS__case_A,15,15,27,27,0,0.9678530693054199,0.006655263248831034
case_B__VS__case_A,16,16,15,15,0,0.9810842871665955,0.006138851400464773
case_B__VS__case_A,17,17,12,12,0,0.9649519920349121,0.0064476728439331055
case_B__VS__case_A,18,18,36,36,0,0.9969527125358582,0.0008079350809566677
case_B__VS__case_A,19,19,14,14,0,0.9777845144271851,0.011857932433485985
case_B__VS__case_A,20,20,17,17,0,0.9957209229469299,0.0020229637157171965
case_B__VS__case_A,21,21,11,13,2,0.7915605306625366,0.02892238087952137
case_B__VS__case_A,21,97,8,6,-2,0.6224299073219299,0.040575217455625534
case_B__VS__case_A,22,22,32,32,0,0.9804068803787231,0.006397284101694822
case_B__VS__case_A,23,23,13,13,0,0.9587534666061401,0.009308737702667713
case_B__VS__case_A,23,72,1,1,0,0.3801738917827606,0.1636977195739746
case_B__VS__case_A,24,23,1,1,0,0.5421512722969055,0.11898809671401978
case_B__VS__case_A,24,24,20,20,0,0.9440584182739258,0.010181989520788193
case_B__VS__case_A,25,25,21,20,-1,0.9311040043830872,0.026535481214523315
case_B__VS__case_A,25,26,1,2,1,0.6898788809776306,0.062288522720336914
case_B__VS__case_A,26,26,14,15,1,0.8762750029563904,0.017579415813088417
case_B__VS__case_A,26,58,6,5,-1,0.734505832195282,0.06515530496835709
case_B__VS__case_A,26,80,1,1,0,0.900284469127655,0.026659280061721802
case_B__VS__case_A,27,27,15,15,0,0.858932375907898,0.030075769871473312
case_B__VS__case_A,28,27,6,7,1,0.6169654726982117,0.0412684865295887
case_B__VS__case_A,28,28,9,8,-1,0.7312473058700562,0.024004926905035973
case_B__VS__case_A,29,29,17,17,0,0.9540626406669617,0.0073818932287395
case_B__VS__case_A,29,38,1,1,0,0.9191929697990417,0.014609038829803467
case_B__VS__case_A,30,30,20,20,0,0.99989253282547,1.896785215649288e-05
case_B__VS__case_A,31,31,16,16,0,0.9988794922828674,0.0008757277391850948
case_B__VS__case_A,32,8,0,1,1,0.5162297487258911,0.0823407769203186
case_B__VS__case_A,32,32,20,19,-1,0.9995098114013672,0.00015352848276961595
case_B__VS__case_A,33,33,19,20,1,0.9192332029342651,0.02962944284081459
case_B__VS__case_A,33,61,1,0,-1,,
case_B__VS__case_A,34,34,22,22,0,0.9837563037872314,0.006222668569535017
case_B__VS__case_A,35,13,1,0,-1,,
case_B__VS__case_A,35,35,18,19,1,0.9834148287773132,0.0037274796050041914
case_B__VS__case_A,36,36,16,15,-1,0.9978355765342712,0.0008774392190389335
case_B__VS__case_A,36,57,0,1,1,0.3866698741912842,0.2925783395767212
case_B__VS__case_A,37,37,19,19,0,0.9906275868415833,0.0024536754935979843
case_B__VS__case_A,38,38,26,26,0,0.9893198609352112,0.0032707778736948967
case_B__VS__case_A,39,39,20,20,0,0.9780536890029907,0.0052867489866912365
case_B__VS__case_A,40,40,20,19,-1,0.92544025182724,0.01564379781484604
case_B__VS__case_A,40,41,0,1,1,0.5186635851860046,0.037800729274749756
case_B__VS__case_A,41,40,1,1,0,0.6611189246177673,0.027924656867980957
case_B__VS__case_A,41,41,13,13,0,0.7932146787643433,0.024426240473985672
case_B__VS__case_A,42,42,10,10,0,0.9980853796005249,0.0005726339295506477
case_B__VS__case_A,43,43,10,9,-1,0.9798719882965088,0.009667348116636276
case_B__VS__case_A,43,67,0,1,1,0.670881450176239,0.15750527381896973
case_B__VS__case_A,44,44,15,15,0,0.9900184273719788,0.003973855637013912
case_B__VS__case_A,45,45,29,29,0,0.9756196141242981,0.007125562522560358
case_B__VS__case_A,46,32,1,1,0,0.2991718351840973,0.26204681396484375
case_B__VS__case_A,46,46,29,29,0,0.9762424826622009,0.01579034887254238
case_B__VS__case_A,47,47,13,13,0,0.9909977316856384,0.002344731707125902
case_B__VS__case_A,48,9,1,0,-1,,
case_B__VS__case_A,48,48,15,16,1,0.9359371066093445,0.011971252970397472
case_B__VS__case_A,49,49,26,26,0,0.9828652143478394,0.008253468200564384
case_B__VS__case_A,50,40,1,0,-1,,
case_B__VS__case_A,50,50,23,24,1,0.9740157127380371,0.007310568820685148
case_B__VS__case_A,51,51,9,9,0,0.9999866485595703,3.1310628401115537e-06
case_B__VS__case_A,52,52,19,19,0,0.9627231955528259,0.014014664106070995
case_B__VS__case_A,53,53,26,26,0,0.9946742653846741,0.0020334096625447273
case_B__VS__case_A,54,54,29,27,-2,0.8182099461555481,0.024457737803459167
case_B__VS__case_A,54,78,5,7,2,0.7505245804786682,0.03272068873047829
