pair_name,branch,branch_cn,bayes_specific_score,bayes_specific_score_cn,bayes_specific_AUROC_error,bayes_specific_AUPR_error,MMRL_best_common_score,MMRL_best_common_score_cn,MMRL_best_common_AUROC_error,MMRL_best_common_AUPR_error,Bayes_best_common_score,Bayes_best_common_score_cn,Bayes_best_common_AUROC_error,Bayes_best_common_AUPR_error,delta_vs_MMRL_best_common_AUROC,delta_vs_MMRL_best_common_AUPR,delta_vs_Bayes_best_common_AUROC,delta_vs_Bayes_best_common_AUPR,bayes_specific_conclusion_hint
case_B__VS__case_A,fusion,融合分支,mutual_information,互信息,0.8832342177493138,0.4906520664631117,predictive_entropy,预测熵,0.9127985365143468,0.6052318769830991,one_minus_confidence,低置信度,0.9021067204964734,0.5490012487236673,-0.02956431876503307,-0.11457981051998739,-0.01887250274715968,-0.05834918226055558,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,fusion,融合分支,variation_ratio,投票分歧率,0.7797888317673313,0.47391838582912954,predictive_entropy,预测熵,0.9127985365143468,0.6052318769830991,one_minus_confidence,低置信度,0.9021067204964734,0.5490012487236673,-0.13300970474701557,-0.13131349115396956,-0.12231788872914218,-0.07508286289453775,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,fusion,融合分支,vote_entropy,投票熵,0.7802650464475716,0.48148132032023644,predictive_entropy,预测熵,0.9127985365143468,0.6052318769830991,one_minus_confidence,低置信度,0.9021067204964734,0.5490012487236673,-0.13253349006677528,-0.12375055666286267,-0.1218416740489019,-0.06751992840343085,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,fusion,融合分支,logit_variance,类别打分方差,0.6044422902840103,0.1779453153281308,predictive_entropy,预测熵,0.9127985365143468,0.6052318769830991,one_minus_confidence,低置信度,0.9021067204964734,0.5490012487236673,-0.30835624623033653,-0.4272865616549683,-0.29766443021246314,-0.3710559333955365,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,main,主分支,mutual_information,互信息,0.8622036187103607,0.48422303757283114,one_minus_confidence,低置信度,0.9064568454326152,0.6066617323006086,one_minus_confidence,低置信度,0.89187236639416,0.5718177067484023,-0.04425322672225451,-0.12243869472777746,-0.029668747683799346,-0.08759466917557113,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,main,主分支,variation_ratio,投票分歧率,0.7772382548174332,0.48867165617988123,one_minus_confidence,低置信度,0.9064568454326152,0.6066617323006086,one_minus_confidence,低置信度,0.89187236639416,0.5718177067484023,-0.12921859061518193,-0.11799007612072737,-0.11463411157672676,-0.08314605056852103,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,main,主分支,vote_entropy,投票熵,0.7781330605099812,0.5102126587499831,one_minus_confidence,低置信度,0.9064568454326152,0.6066617323006086,one_minus_confidence,低置信度,0.89187236639416,0.5718177067484023,-0.12832378492263397,-0.09644907355062549,-0.1137393058841788,-0.06160504799841915,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,main,主分支,logit_variance,类别打分方差,0.5679571929179956,0.1812142460490484,one_minus_confidence,低置信度,0.9064568454326152,0.6066617323006086,one_minus_confidence,低置信度,0.89187236639416,0.5718177067484023,-0.33849965251461955,-0.4254474862515602,-0.3239151734761644,-0.39060346069935387,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,rep,表示增强分支,mutual_information,互信息,0.8682652949773494,0.5318275671680582,predictive_entropy,预测熵,0.8896814429755597,0.6124051962864984,predictive_entropy,预测熵,0.8824147418460594,0.5667200943004466,-0.021416147998210344,-0.08057762911844013,-0.014149446868710003,-0.03489252713238833,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,rep,表示增强分支,variation_ratio,投票分歧率,0.8277504433892099,0.5224834503029566,predictive_entropy,预测熵,0.8896814429755597,0.6124051962864984,predictive_entropy,预测熵,0.8824147418460594,0.5667200943004466,-0.061930999586349844,-0.08992174598354175,-0.0546642984568495,-0.044236643997489944,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,rep,表示增强分支,vote_entropy,投票熵,0.8303605885504164,0.5352510045125162,predictive_entropy,预测熵,0.8896814429755597,0.6124051962864984,predictive_entropy,预测熵,0.8824147418460594,0.5667200943004466,-0.05932085442514334,-0.0771541917739822,-0.052054153295643,-0.03146908978793039,Bayes特有分数未超过 MMRL 最佳普通基线
case_B__VS__case_A,rep,表示增强分支,logit_variance,类别打分方差,0.6173720152494682,0.2271268916387803,predictive_entropy,预测熵,0.8896814429755597,0.6124051962864984,predictive_entropy,预测熵,0.8824147418460594,0.5667200943004466,-0.27230942772609157,-0.38527830464771806,-0.2650427265965912,-0.33959320266166626,Bayes特有分数未超过 MMRL 最佳普通基线
