pair_name,bayes_mode,main_rep_pred_disagree,disagreement_type,fusion_followed_prediction,n,rate_over_all,main_acc,rep_acc,fusion_acc,fusion_wrong_count,fusion_wrong_rate,margin_sign_conflict_rate
case_B__VS__case_A,mc_prob_mean_probs,True,both_wrong_different_predictions,main,93,0.02458366375892149,0.0,0.0,0.0,93,1.0,0.0
case_B__VS__case_A,mc_prob_mean_probs,True,both_wrong_different_predictions,neither,32,0.0084588950568332,0.0,0.0,0.46875,17,0.53125,0.0
case_B__VS__case_A,mc_prob_mean_probs,True,both_wrong_different_predictions,rep,46,0.012159661644197727,0.0,0.0,0.0,46,1.0,0.0
case_B__VS__case_A,mc_prob_mean_probs,True,main_correct_rep_wrong,main,175,0.04625958234205657,1.0,0.0,1.0,0,0.0,1.0
case_B__VS__case_A,mc_prob_mean_probs,True,main_correct_rep_wrong,neither,10,0.0026434047052603755,1.0,0.0,0.0,10,1.0,1.0
case_B__VS__case_A,mc_prob_mean_probs,True,main_correct_rep_wrong,rep,63,0.016653449643140365,1.0,0.0,0.0,63,1.0,1.0
case_B__VS__case_A,mc_prob_mean_probs,True,main_wrong_rep_correct,main,83,0.021940259053661114,0.0,1.0,0.0,83,1.0,1.0
case_B__VS__case_A,mc_prob_mean_probs,True,main_wrong_rep_correct,neither,6,0.0015860428231562252,0.0,1.0,0.0,6,1.0,1.0
case_B__VS__case_A,mc_prob_mean_probs,True,main_wrong_rep_correct,rep,148,0.039122389637853555,0.0,1.0,1.0,0,0.0,1.0
case_B__VS__case_A,mc_prob_mean_probs,False,same_pred_both_correct,both_same_prediction,2941,0.7774253238170764,1.0,1.0,1.0,0,0.0,0.0
case_B__VS__case_A,mc_prob_mean_probs,False,same_pred_both_wrong,both_same_prediction,186,0.04916732751784298,0.0,0.0,0.0,186,1.0,0.0
