pair_name,class_id,n,MMRL_acc,Bayes_acc,delta_acc,Bayes_conf,Bayes_MI,harmful_flip,beneficial_flip
case_B__VS__case_A,0,44,0.9545454382896423,0.9545454382896423,0.0,0.922109067440033,0.00565459206700325,2,2
case_B__VS__case_A,1,32,0.84375,0.875,0.03125,0.8463876247406006,0.022373447194695473,0,1
case_B__VS__case_A,2,41,0.8780487775802612,0.8292682766914368,-0.04878050088882446,0.9327601194381714,0.02122107893228531,2,0
case_B__VS__case_A,3,35,1.0,1.0,0.0,0.987149715423584,0.004529849626123905,0,0
case_B__VS__case_A,4,31,0.7096773982048035,0.6774193644523621,-0.032258033752441406,0.8196690082550049,0.04013776779174805,2,1
case_B__VS__case_A,5,43,0.9767441749572754,0.930232584476471,-0.04651159048080444,0.9317251443862915,0.012597344815731049,2,0
case_B__VS__case_A,6,43,0.8604651093482971,0.8604651093482971,0.0,0.9467273354530334,0.013915697112679482,0,0
case_B__VS__case_A,7,35,0.9142857193946838,0.8857142925262451,-0.02857142686843872,0.8160189390182495,0.05071390047669411,2,1
case_B__VS__case_A,8,37,1.0,1.0,0.0,0.9484426975250244,0.00442873639985919,0,0
case_B__VS__case_A,9,48,1.0,1.0,0.0,0.9783534407615662,0.002946122782304883,0,0
case_B__VS__case_A,10,38,1.0,1.0,0.0,0.9906450510025024,0.0038157294038683176,0,0
case_B__VS__case_A,11,40,1.0,1.0,0.0,0.9994032979011536,0.00010447968088556081,0,0
case_B__VS__case_A,12,38,0.9210526347160339,0.8421052694320679,-0.07894736528396606,0.810889482498169,0.025613829493522644,3,0
case_B__VS__case_A,13,33,1.0,1.0,0.0,0.9998655319213867,5.871199391549453e-05,0,0
case_B__VS__case_A,14,30,0.46666666865348816,0.6333333253860474,0.1666666567325592,0.6741445064544678,0.0835985317826271,0,5
case_B__VS__case_A,15,43,1.0,1.0,0.0,0.9990201592445374,0.0003903362958226353,0,0
case_B__VS__case_A,16,49,0.8571428656578064,0.8163265585899353,-0.040816307067871094,0.8734590411186218,0.02854720503091812,2,0
case_B__VS__case_A,17,37,0.8648648858070374,0.8108108043670654,-0.054054081439971924,0.8423179388046265,0.06536272913217545,2,0
case_B__VS__case_A,18,28,0.8928571343421936,0.9285714030265808,0.03571426868438721,0.8006367087364197,0.024137016385793686,0,1
case_B__VS__case_A,19,36,0.75,0.8333333134651184,0.08333331346511841,0.8672130703926086,0.02090267837047577,0,3
case_B__VS__case_A,20,33,0.9696969985961914,1.0,0.030303001403808594,0.9234943985939026,0.011875302530825138,0,1
case_B__VS__case_A,21,39,0.7435897588729858,0.8205128312110901,0.07692307233810425,0.7985540628433228,0.06894746422767639,1,4
case_B__VS__case_A,22,36,0.4722222089767456,0.5,0.027777791023254395,0.6815686821937561,0.06804067641496658,0,1
case_B__VS__case_A,23,49,0.6530612111091614,0.6122449040412903,-0.040816307067871094,0.7864995002746582,0.030846182256937027,2,0
