pair_name,sample_index,sample_id,label,MMRL_fusion_pred,Bayes_main_pred,Bayes_rep_pred,Bayes_fusion_pred,Bayes_fusion_correct,MMRL_fusion_correct,MMRL_vs_Bayes_fusion_changed,main_rep_conflict,main_fusion_conflict,rep_fusion_conflict,all_three_agree,Bayes_main_conf,Bayes_rep_conf,Bayes_fusion_conf,fusion_sample_agreement,fusion_num_unique_mc_preds,fusion_MI,fusion_variation_ratio
case_B__VS__case_A,0,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c01.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9880736470222473,0.8785799145698547,0.9863944053649902,1.0,1,0.0021730512380599976,0.0
case_B__VS__case_A,1,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c02.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9437814950942993,0.959212601184845,0.9561333656311035,1.0,1,0.005407780408859253,0.0
case_B__VS__case_A,2,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c03.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9997360110282898,0.9860884547233582,0.9992583990097046,1.0,1,0.00011294800788164139,0.0
case_B__VS__case_A,3,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c04.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9754249453544617,0.950997531414032,0.9733091592788696,1.0,1,0.002920381724834442,0.0
case_B__VS__case_A,4,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c05.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9996916651725769,0.9951946139335632,0.9993740916252136,1.0,1,5.115009844303131e-05,0.0
case_B__VS__case_A,5,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c06.jpg,0,0,0,1,0,True,True,False,True,False,True,False,0.9814608693122864,0.725899875164032,0.9156420826911926,1.0,1,0.007957309484481812,0.0
case_B__VS__case_A,6,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c01.jpg,0,1,0,1,0,True,False,True,True,False,True,False,0.6644472479820251,0.7551265358924866,0.5068122744560242,0.6,2,0.024493515491485596,0.3999999761581421
case_B__VS__case_A,7,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c02.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9340626001358032,0.9705920219421387,0.9639631509780884,1.0,1,0.00871799886226654,0.0
case_B__VS__case_A,8,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c03.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.7948189973831177,0.9337239265441895,0.9499320983886719,1.0,1,0.00717085599899292,0.0
case_B__VS__case_A,9,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c04.jpg,0,1,1,0,0,True,False,True,True,True,False,False,0.6510435342788696,0.7959643006324768,0.5570698976516724,0.65,2,0.025138020515441895,0.3500000238418579
case_B__VS__case_A,10,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c01.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.996661365032196,0.9991377592086792,0.9979977607727051,1.0,1,0.00017477385699748993,0.0
case_B__VS__case_A,11,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c02.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9622241854667664,0.9963390231132507,0.9827247858047485,1.0,1,0.0016056597232818604,0.0
case_B__VS__case_A,12,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c03.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9970895648002625,0.9946087002754211,0.9992406964302063,1.0,1,7.792795076966286e-05,0.0
case_B__VS__case_A,13,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c04.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9987140893936157,0.9980249404907227,0.9992694854736328,1.0,1,8.203089237213135e-05,0.0
case_B__VS__case_A,14,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c05.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9992668032646179,0.9991434216499329,0.9996839761734009,1.0,1,6.24640379101038e-05,0.0
case_B__VS__case_A,15,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c06.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.8860311508178711,0.9993144273757935,0.9760799407958984,1.0,1,0.0019039064645767212,0.0
case_B__VS__case_A,16,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c01.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.8779598474502563,0.7390821576118469,0.8513376116752625,1.0,1,0.01058933138847351,0.0
case_B__VS__case_A,17,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c02.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.7270685434341431,0.8243028521537781,0.773119330406189,1.0,1,0.016869723796844482,0.0
case_B__VS__case_A,18,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c03.jpg,0,0,1,1,1,False,True,True,False,False,False,True,0.648900032043457,0.48806944489479065,0.6322717070579529,1.0,1,0.02017277479171753,0.0
case_B__VS__case_A,19,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c04.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.9677368402481079,0.8468784093856812,0.9516051411628723,1.0,1,0.006789699196815491,0.0
case_B__VS__case_A,20,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c05.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.6981416940689087,0.8515766859054565,0.7725337147712708,1.0,1,0.018102705478668213,0.0
case_B__VS__case_A,21,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c06.jpg,0,0,0,0,0,True,True,False,False,False,False,True,0.8012688755989075,0.6110582947731018,0.7532176971435547,1.0,1,0.019602656364440918,0.0
