pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,0,0,42,42,0,0.9380909204483032,0.0050178407691419125
case_B__VS__case_A,0,1,2,2,0,0.5864894390106201,0.019026368856430054
case_B__VS__case_A,1,0,1,1,0,0.5383429527282715,0.03504157066345215
case_B__VS__case_A,1,1,27,28,1,0.879435658454895,0.02052621729671955
case_B__VS__case_A,1,19,4,3,-1,0.6406213641166687,0.03539155796170235
case_B__VS__case_A,2,2,36,34,-2,0.9744184017181396,0.007307678926736116
case_B__VS__case_A,2,10,1,1,0,0.5444754362106323,0.1792529821395874
case_B__VS__case_A,2,17,1,0,-1,,
case_B__VS__case_A,2,42,1,4,3,0.7398450374603271,0.07468492537736893
case_B__VS__case_A,2,55,1,1,0,0.7937768697738647,0.09438073635101318
case_B__VS__case_A,2,80,1,1,0,0.815304160118103,0.04922974109649658
case_B__VS__case_A,3,3,35,35,0,0.987149715423584,0.004529849626123905
case_B__VS__case_A,4,4,22,21,-1,0.8993128538131714,0.0196391511708498
case_B__VS__case_A,4,29,0,1,1,0.4259081780910492,0.05537521839141846
case_B__VS__case_A,4,56,4,6,2,0.6872715950012207,0.0801658034324646
case_B__VS__case_A,4,67,1,0,-1,,
case_B__VS__case_A,4,68,1,2,1,0.6161711812019348,0.12145012617111206
case_B__VS__case_A,4,95,3,1,-2,0.742287278175354,0.05257827043533325
case_B__VS__case_A,5,5,42,40,-2,0.9528552293777466,0.008970738388597965
case_B__VS__case_A,5,52,1,3,2,0.6499928832054138,0.06095209717750549
case_B__VS__case_A,6,6,37,37,0,0.9976433515548706,0.0007870366680435836
case_B__VS__case_A,6,83,6,6,0,0.6327453255653381,0.0948757752776146
case_B__VS__case_A,7,7,32,31,-1,0.8671070337295532,0.030809659510850906
case_B__VS__case_A,7,25,1,1,0,0.5621527433395386,0.28929197788238525
case_B__VS__case_A,7,37,0,1,1,0.14975421130657196,0.3111703395843506
case_B__VS__case_A,7,47,0,1,1,0.6500153541564941,0.11052811145782471
case_B__VS__case_A,7,83,1,0,-1,,
case_B__VS__case_A,7,93,1,0,-1,,
case_B__VS__case_A,7,96,0,1,1,0.31842485070228577,0.10889673233032227
case_B__VS__case_A,8,8,37,37,0,0.9484426975250244,0.00442873639985919
case_B__VS__case_A,9,9,48,48,0,0.9783534407615662,0.002946122782304883
case_B__VS__case_A,10,10,38,38,0,0.9906450510025024,0.0038157294038683176
case_B__VS__case_A,11,11,40,40,0,0.9994032979011536,0.00010447968088556081
case_B__VS__case_A,12,12,35,32,-3,0.8430342674255371,0.021305512636899948
case_B__VS__case_A,12,33,3,5,2,0.6692951321601868,0.03266791254281998
case_B__VS__case_A,12,74,0,1,1,0.4902285635471344,0.12820959091186523
case_B__VS__case_A,13,13,33,33,0,0.9998655319213867,5.871199391549453e-05
case_B__VS__case_A,14,2,3,3,0,0.7384459376335144,0.0682830885052681
case_B__VS__case_A,14,10,1,0,-1,,
case_B__VS__case_A,14,14,14,19,5,0.7037321329116821,0.07569857686758041
case_B__VS__case_A,14,17,2,1,-1,0.5423659086227417,0.1631333827972412
case_B__VS__case_A,14,20,0,1,1,0.44173383712768555,0.113494873046875
case_B__VS__case_A,14,45,1,2,1,0.2800182104110718,0.17989754676818848
case_B__VS__case_A,14,46,3,3,0,0.8658401966094971,0.04329117015004158
case_B__VS__case_A,14,47,3,0,-3,,
case_B__VS__case_A,14,55,2,0,-2,,
case_B__VS__case_A,14,90,0,1,1,0.49643081426620483,0.09853684902191162
case_B__VS__case_A,14,98,1,0,-1,,
case_B__VS__case_A,15,15,43,43,0,0.9990201592445374,0.0003903362958226353
case_B__VS__case_A,16,16,42,40,-2,0.9220103025436401,0.015783216804265976
case_B__VS__case_A,16,17,6,8,2,0.674996554851532,0.0837874487042427
case_B__VS__case_A,16,20,1,1,0,0.5191096067428589,0.09718477725982666
case_B__VS__case_A,17,17,32,30,-2,0.8743505477905273,0.052307549864053726
case_B__VS__case_A,17,34,3,3,0,0.8792884945869446,0.0638749822974205
case_B__VS__case_A,17,55,1,0,-1,,
case_B__VS__case_A,17,57,0,1,1,0.426999032497406,0.17506110668182373
case_B__VS__case_A,17,98,1,3,2,0.6234602332115173,0.1608361452817917
case_B__VS__case_A,18,18,25,26,1,0.7909225225448608,0.025451023131608963
case_B__VS__case_A,18,25,1,0,-1,,
case_B__VS__case_A,18,31,2,2,0,0.9269216060638428,0.007054910063743591
case_B__VS__case_A,19,1,1,0,-1,,
case_B__VS__case_A,19,12,1,0,-1,,
case_B__VS__case_A,19,19,27,30,3,0.8859767317771912,0.01714595966041088
case_B__VS__case_A,19,77,7,6,-1,0.7733948230743408,0.03968627378344536
case_B__VS__case_A,20,20,32,33,1,0.9234943985939026,0.011875302530825138
case_B__VS__case_A,20,69,1,0,-1,,
case_B__VS__case_A,21,2,1,0,-1,,
case_B__VS__case_A,21,21,29,32,3,0.8529496192932129,0.05264980345964432
case_B__VS__case_A,21,25,3,2,-1,0.7733089327812195,0.07367858290672302
case_B__VS__case_A,21,36,1,0,-1,,
case_B__VS__case_A,21,37,0,2,2,0.44986408948898315,0.15311580896377563
case_B__VS__case_A,21,52,1,0,-1,,
case_B__VS__case_A,21,74,2,1,-1,0.7035195231437683,0.12308883666992188
case_B__VS__case_A,21,82,1,0,-1,,
case_B__VS__case_A,21,85,0,1,1,0.4359574317932129,0.19411027431488037
case_B__VS__case_A,21,98,1,1,0,0.26339802145957947,0.2333693504333496
case_B__VS__case_A,22,7,4,2,-2,0.6193732023239136,0.10248851776123047
case_B__VS__case_A,22,22,17,18,1,0.7984780669212341,0.03334952890872955
