pair_name,sample_index,sample_id,label,case_type,MMRL_pred,Bayes_pred,MMRL_conf,Bayes_conf,MMRL_entropy,Bayes_entropy,JS,sym_KL,L1,image_cosine,image_angle_deg,image_shift_norm,mc_image_shift_mean,mc_image_shift_std,mc_image_feature_var,Bayes_MI,Bayes_variation_ratio
case_B__VS__case_A,0,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c01.jpg,0,both_correct,0,0,0.9651975035667419,0.9863944053649902,0.17576898634433746,0.08376426249742508,0.0028410088270902634,0.011930120177567005,0.043694473803043365,0.9314224123954773,21.342360181201126,0.37034446001052856,0.3291621506214142,0.023392047733068466,0.009955057874321938,0.0021730512380599976,0.0
case_B__VS__case_A,1,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c02.jpg,0,both_correct,0,0,0.9284316897392273,0.9561333656311035,0.2643325626850128,0.18334266543388367,0.0018348400481045246,0.007444310002028942,0.05546910688281059,0.9430489540100098,19.429940662015515,0.33749380707740784,0.29920539259910583,0.024121234193444252,0.008753485977649689,0.005407780408859253,0.0
case_B__VS__case_A,2,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c03.jpg,0,both_correct,0,0,0.9992000460624695,0.9992583990097046,0.0065986393019557,0.006227290257811546,5.2212672017049044e-06,2.6210074793198146e-05,0.0001485304528614506,0.9535676836967468,17.52841864314247,0.3047374188899994,0.2722260355949402,0.01450115256011486,0.006895896978676319,0.00011294800788164139,0.0
case_B__VS__case_A,3,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c04.jpg,0,both_correct,0,0,0.9771362543106079,0.9733091592788696,0.11313041299581528,0.12741193175315857,8.672420517541468e-05,0.0003479385923128575,0.007841435261070728,0.9629250168800354,15.650532335877068,0.27230507135391235,0.24567779898643494,0.017546219751238823,0.007515895180404186,0.002920381724834442,0.0
case_B__VS__case_A,4,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c05.jpg,0,both_correct,0,0,0.9988113641738892,0.9993740916252136,0.00936917681246996,0.005314701236784458,4.556360363494605e-05,0.0001858446339610964,0.001127743162214756,0.9615851640701294,15.932623632902787,0.2771817147731781,0.2541472315788269,0.01283044833689928,0.00644944841042161,5.115009844303131e-05,0.0
case_B__VS__case_A,5,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c06.jpg,0,both_correct,0,0,0.8775359988212585,0.9156420826911926,0.39243146777153015,0.2946053445339203,0.002406989224255085,0.010112721472978592,0.07621514052152634,0.9424158930778503,19.53868555651399,0.33936476707458496,0.30214840173721313,0.02288621850311756,0.009688591584563255,0.007957309484481812,0.0
case_B__VS__case_A,6,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c01.jpg,0,MMRL_wrong_Bayes_correct,1,0,0.6695897579193115,0.5068122744560242,0.6371384859085083,0.6998451948165894,0.016255000606179237,0.06543571501970291,0.3544255793094635,0.9466820955276489,18.794161301752478,0.3265511393547058,0.3069320023059845,0.023723924532532692,0.00848431047052145,0.024493515491485596,0.3999999761581421
case_B__VS__case_A,7,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c02.jpg,0,both_correct,0,0,0.9611107110977173,0.9639631509780884,0.16669778525829315,0.15990811586380005,8.772693399805576e-05,0.0003623065713327378,0.006599133368581533,0.9397308826446533,19.993589324844823,0.34718626737594604,0.32108402252197266,0.017599692568182945,0.008767055347561836,0.00871799886226654,0.0
case_B__VS__case_A,8,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c03.jpg,0,both_correct,0,0,0.9168436527252197,0.9499320983886719,0.37777575850486755,0.25883638858795166,0.0035016098991036415,0.014525899663567543,0.06786642223596573,0.9553722143173218,17.18180606086866,0.29875659942626953,0.27284350991249084,0.01291691791266203,0.007096048444509506,0.00717085599899292,0.0
case_B__VS__case_A,9,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c04.jpg,0,MMRL_wrong_Bayes_correct,1,0,0.6418344974517822,0.5570698976516724,0.7694082260131836,0.8085899949073792,0.02667970210313797,0.10790877789258957,0.4542240500450134,0.9401947259902954,19.915716154409672,0.3458479046821594,0.31856441497802734,0.015833204612135887,0.009186270646750927,0.025138020515441895,0.3500000238418579
