pair_name,target,score,score_cn,n,n_positive,positive_rate,AUROC,AUPR,positive_score_mean,negative_score_mean,positive_over_negative_score_mean
case_B__VS__case_A,Bayes_error,image_shift_norm,图像特征偏移范数,3783,504,0.13322759714512292,0.5894442508120459,0.16953778058322716,0.32390553867887883,0.3091547985508079,1.0477131204083405
case_B__VS__case_A,Bayes_error,one_minus_image_cosine,1-图像特征余弦相似度,3783,504,0.13322759714512292,0.5894436457108003,0.16953778058322716,0.053597978301464566,0.04898422703796787,1.0941885080664957
case_B__VS__case_A,Bayes_error,image_angle_deg,图像特征夹角,3783,504,0.13322759714512292,0.5894436457108003,0.16953778058322716,18.64612451969032,17.790234361727087,1.0481101114555607
case_B__VS__case_A,MMRL_error,image_shift_norm,图像特征偏移范数,3783,478,0.12635474491144594,0.5889042214471544,0.1570566634647465,0.32348568958842105,0.30933156318275,1.045757136000082
case_B__VS__case_A,MMRL_error,one_minus_image_cosine,1-图像特征余弦相似度,3783,478,0.12635474491144594,0.5889042214471544,0.1570567853051381,0.053387573698075744,0.049050953492815304,1.08841051797078
case_B__VS__case_A,MMRL_error,image_angle_deg,图像特征夹角,3783,478,0.12635474491144594,0.5889042214471544,0.1570567853051381,18.621369344158847,17.80054786188173,1.0461121471454726
case_B__VS__case_A,prediction_changed,image_shift_norm,图像特征偏移范数,3783,318,0.08406026962727994,0.6419986023759608,0.12704591809264482,0.332283782649715,0.3091777007387142,1.074733985846307
case_B__VS__case_A,prediction_changed,one_minus_image_cosine,1-图像特征余弦相似度,3783,318,0.08406026962727994,0.6419967872798061,0.1270457872059234,0.05626786898517009,0.04898686267940857,1.1486318148890573
case_B__VS__case_A,prediction_changed,image_angle_deg,图像特征夹角,3783,318,0.08406026962727994,0.6419967872798061,0.1270457872059234,19.13246942390103,17.79154399804517,1.075368693464895
case_B__VS__case_A,harmful_flip,image_shift_norm,图像特征偏移范数,3783,126,0.03330689928628073,0.6070137288348937,0.04730143680323623,0.32815624584281256,0.3105330295231227,1.056751503525256
case_B__VS__case_A,harmful_flip,one_minus_image_cosine,1-图像特征余弦相似度,3783,126,0.03330689928628073,0.6070115586112305,0.047301309846837516,0.05499193308845399,0.04941309213899086,1.1129020813708799
case_B__VS__case_A,harmful_flip,image_angle_deg,图像特征夹角,3783,126,0.03330689928628073,0.6070115586112305,0.047301309846837516,18.893072563996128,17.87019362509257,1.057239387572571
case_B__VS__case_A,beneficial_flip,image_shift_norm,图像特征偏移范数,3783,100,0.026434047052603753,0.6138827043171328,0.034605019012710556,0.3272545510530472,0.3106819225731603,1.053342751141191
case_B__VS__case_A,beneficial_flip,one_minus_image_cosine,1-图像特征余弦相似度,3783,100,0.026434047052603753,0.6138827043171328,0.034605019012710556,0.05434862732887268,0.04946994265233438,1.0986191698426822
case_B__VS__case_A,beneficial_flip,image_angle_deg,图像特征夹角,3783,100,0.026434047052603753,0.6138827043171328,0.034605019012710556,18.8389493164752,17.8788841429214,1.0536982714289755
