case_name,method,eval_mode,branch,margin_true_vs_best_wrong_mean,margin_true_vs_best_wrong_median,frac_positive_margin,acc_from_margin
case_A,BayesMMRL,standard,main,3.334688663482666,3.4109630584716797,0.8413957357406616,0.8413957357406616
case_A,BayesMMRL,standard,rep,5.374501705169678,5.9304351806640625,0.8326724767684937,0.8326724767684937
case_A,BayesMMRL,standard,fusion,4.347153663635254,4.6106414794921875,0.8638646602630615,0.8638646602630615
case_A,BayesMMRL,posterior_mean,main,3.377007484436035,3.5545120239257812,0.8376949429512024,0.8376949429512024
case_A,BayesMMRL,posterior_mean,rep,5.282821178436279,6.06689453125,0.8160190582275391,0.8160190582275391
case_A,BayesMMRL,posterior_mean,fusion,4.385847091674805,4.71467399597168,0.8546127676963806,0.8546127676963806
case_A,BayesMMRL,mc_prob_mean_probs,main,3.2258975505828857,3.275188684463501,0.84298175573349,0.84298175573349
case_A,BayesMMRL,mc_prob_mean_probs,rep,4.505945205688477,4.408226013183594,0.8400740027427673,0.8400740027427673
case_A,BayesMMRL,mc_prob_mean_probs,fusion,4.149219989776611,4.294521331787109,0.8667724132537842,0.8667724132537842
case_A,BayesMMRL,mc_logit_mean,main,3.3658127784729004,3.453775405883789,0.8435104489326477,0.8435104489326477
case_A,BayesMMRL,mc_logit_mean,rep,5.400017738342285,5.9632415771484375,0.8400740027427673,0.8400740027427673
case_A,BayesMMRL,mc_logit_mean,fusion,4.368378639221191,4.628332138061523,0.8667724132537842,0.8667724132537842
case_B,MMRL,standard,main,3.2829649448394775,3.4896469116210938,0.8638646602630615,0.8638646602630615
case_B,MMRL,standard,rep,5.136410713195801,5.879138946533203,0.8236849308013916,0.8236849308013916
case_B,MMRL,standard,fusion,4.232522010803223,4.537223815917969,0.8736452460289001,0.8736452460289001
