pair_name,branch,sample_index,sample_id,label,pred_mc_prob_mean,correct_mc_prob_mean,mc_logit_std_mean,mc_logit_l2_to_mean,mc_prob_l1_to_mean,sample_agreement,num_unique_preds,mutual_information,variation_ratio
case_B__VS__case_A,main,0,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c01.jpg,0,0,True,0.7684481143951416,6.979617118835449,0.007437913678586483,1.0,1,0.0011173486709594727,0.0
case_B__VS__case_A,main,1,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c02.jpg,0,0,True,0.729152262210846,6.974704742431641,0.03624483197927475,1.0,1,0.004490450024604797,0.0
case_B__VS__case_A,main,2,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c03.jpg,0,0,True,0.6609163284301758,6.528685569763184,0.00022932323918212205,1.0,1,3.9169564843177795e-05,0.0
case_B__VS__case_A,main,3,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c04.jpg,0,0,True,0.692361056804657,6.524158477783203,0.01511615701019764,1.0,1,0.002064526081085205,0.0
case_B__VS__case_A,main,4,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c05.jpg,0,0,True,0.6809709668159485,6.41449499130249,0.00019662459089886397,1.0,1,2.720765769481659e-05,0.0
case_B__VS__case_A,main,5,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c06.jpg,0,0,True,0.8138769865036011,7.506302833557129,0.01532829087227583,1.0,1,0.0020751282572746277,0.0
case_B__VS__case_A,main,6,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c01.jpg,0,0,True,0.617373526096344,6.058167934417725,0.1086159348487854,1.0,1,0.010378539562225342,0.0
case_B__VS__case_A,main,7,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c02.jpg,0,0,True,0.6745612025260925,6.4932708740234375,0.046692363917827606,1.0,1,0.010314956307411194,0.0
case_B__VS__case_A,main,8,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c03.jpg,0,0,True,0.6438210606575012,6.263613224029541,0.07910487800836563,1.0,1,0.009132862091064453,0.0
case_B__VS__case_A,main,9,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c04.jpg,0,1,False,0.6793965101242065,6.558419704437256,0.1053234115242958,1.0,1,0.01158750057220459,0.0
case_B__VS__case_A,main,10,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c01.jpg,0,0,True,0.7418091893196106,6.966256618499756,0.0025202729739248753,1.0,1,0.0003270581364631653,0.0
case_B__VS__case_A,main,11,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c02.jpg,0,0,True,0.7217570543289185,6.786898612976074,0.023387601599097252,1.0,1,0.0028907954692840576,0.0
case_B__VS__case_A,main,12,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c03.jpg,0,0,True,0.7669177651405334,7.067054748535156,0.002119998447597027,1.0,1,0.00028836168348789215,0.0
case_B__VS__case_A,main,13,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c04.jpg,0,0,True,0.7757585048675537,7.206780910491943,0.0009908389765769243,1.0,1,0.000164080411195755,0.0
case_B__VS__case_A,main,14,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c05.jpg,0,0,True,0.8209546804428101,7.618081092834473,0.0006194052402861416,1.0,1,0.000132113229483366,0.0
case_B__VS__case_A,main,15,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c06.jpg,0,0,True,0.7489200234413147,6.89239501953125,0.05932239815592766,1.0,1,0.006635874509811401,0.0
case_B__VS__case_A,main,16,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c01.jpg,0,0,True,0.6065523028373718,5.951477527618408,0.06186854839324951,1.0,1,0.0076521337032318115,0.0
case_B__VS__case_A,main,17,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c02.jpg,0,0,True,0.5777576565742493,5.687951564788818,0.11055946350097656,1.0,1,0.012429356575012207,0.0
case_B__VS__case_A,main,18,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c03.jpg,0,1,False,0.5836032629013062,5.820120811462402,0.1221180409193039,1.0,1,0.01881420612335205,0.0
case_B__VS__case_A,main,19,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c04.jpg,0,0,True,0.5777585506439209,5.730045795440674,0.021559348329901695,1.0,1,0.002845197916030884,0.0
case_B__VS__case_A,main,20,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c05.jpg,0,0,True,0.6489212512969971,6.318074703216553,0.14291799068450928,1.0,1,0.016204118728637695,0.0
case_B__VS__case_A,main,21,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c06.jpg,0,0,True,0.5764316916465759,5.672983646392822,0.08442525565624237,1.0,1,0.00905829668045044,0.0
case_B__VS__case_A,main,22,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c07.jpg,0,0,True,0.6597214341163635,6.376029968261719,0.05505248159170151,1.0,1,0.007570475339889526,0.0
case_B__VS__case_A,main,23,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c01.jpg,0,1,False,0.6616920828819275,6.607649803161621,0.16994497179985046,0.9,2,0.02133321762084961,0.10000002384185791
case_B__VS__case_A,main,24,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c02.jpg,0,0,True,0.623358428478241,6.225306987762451,0.012929516844451427,1.0,1,0.0014137178659439087,0.0
case_B__VS__case_A,main,25,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c03.jpg,0,0,True,0.6381512880325317,6.321599006652832,0.0316130593419075,1.0,1,0.0031928420066833496,0.0
case_B__VS__case_A,main,26,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c04.jpg,0,0,True,0.6082369089126587,5.994328022003174,0.0060758450999855995,1.0,1,0.0005848035216331482,0.0
case_B__VS__case_A,main,27,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c05.jpg,0,0,True,0.5769056677818298,5.7598137855529785,0.015732450410723686,1.0,1,0.002073526382446289,0.0
case_B__VS__case_A,main,28,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c06.jpg,0,0,True,0.5466242432594299,5.471933841705322,0.004688446410000324,1.0,1,0.0006286986172199249,0.0
case_B__VS__case_A,main,29,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c07.jpg,0,0,True,0.5696991086006165,5.693583965301514,0.07728219032287598,1.0,1,0.011172652244567871,0.0
case_B__VS__case_A,main,30,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c01.jpg,0,0,True,0.7523150444030762,7.1564483642578125,0.0011929133906960487,1.0,1,0.0001789778470993042,0.0
case_B__VS__case_A,main,31,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c02.jpg,0,0,True,0.7961012125015259,7.4903717041015625,0.0023025593254715204,1.0,1,0.0003411099314689636,0.0
case_B__VS__case_A,main,32,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c03.jpg,0,0,True,0.7620639801025391,7.1435370445251465,0.0064508491195738316,1.0,1,0.0012358203530311584,0.0
case_B__VS__case_A,main,33,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c04.jpg,0,0,True,0.8425728678703308,7.7486677169799805,0.000894026190508157,1.0,1,0.00010864809155464172,0.0
case_B__VS__case_A,main,34,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c05.jpg,0,0,True,0.7811632752418518,7.341465950012207,0.0032278592698276043,1.0,1,0.0002804175019264221,0.0
case_B__VS__case_A,main,35,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c06.jpg,0,0,True,0.8292323350906372,7.718865871429443,0.0004280954017303884,1.0,1,8.402764797210693e-05,0.0
case_B__VS__case_A,main,36,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c07.jpg,0,0,True,0.8550986647605896,7.820274353027344,0.000980044947937131,1.0,1,0.00013775937259197235,0.0
case_B__VS__case_A,main,37,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g07_c01.jpg,0,0,True,0.6185620427131653,6.0990705490112305,0.07252331078052521,1.0,1,0.010408520698547363,0.0
case_B__VS__case_A,main,38,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g07_c02.jpg,0,0,True,0.6216680407524109,6.123430252075195,0.02468428574502468,1.0,1,0.003997057676315308,0.0
case_B__VS__case_A,main,39,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g07_c03.jpg,0,0,True,0.5949381589889526,5.857638359069824,0.04542860388755798,1.0,1,0.0065813809633255005,0.0
case_B__VS__case_A,main,40,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g07_c04.jpg,0,0,True,0.6588920950889587,6.383838176727295,0.026699598878622055,1.0,1,0.003941386938095093,0.0
case_B__VS__case_A,main,41,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g07_c05.jpg,0,0,True,0.6098793148994446,5.973194122314453,0.007379623595625162,1.0,1,0.0007321089506149292,0.0
