pair_name,feature,sample_index,sample_id,label,case_type,mc_feature_dev_mean,mc_feature_dev_std,mc_feature_cos_to_mc_mean,mc_mean_dist_to_posterior_mean,mc_mean_cos_to_posterior_mean,mc_mean_dist_to_MMRL,mc_mean_cos_to_MMRL
case_B__VS__case_A,features_img,0,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c01.jpg,0,both_correct,0.0978621318936348,0.019443806260824203,0.9950100779533386,0.07570693641901016,0.9971323013305664,0.31454703211784363,0.9502944946289062
case_B__VS__case_A,features_img,1,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c02.jpg,0,both_correct,0.092391237616539,0.014742639847099781,0.9956135749816895,0.07056892663240433,0.997508704662323,0.285223126411438,0.9591543674468994
case_B__VS__case_A,features_img,2,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c03.jpg,0,both_correct,0.08208145946264267,0.01259092427790165,0.9965460896492004,0.05886116623878479,0.9982677698135376,0.25965631008148193,0.9661784768104553
case_B__VS__case_A,features_img,3,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c04.jpg,0,both_correct,0.08546150475740433,0.01456794235855341,0.9962350130081177,0.05871445685625076,0.998276948928833,0.2305418848991394,0.9733319282531738
case_B__VS__case_A,features_img,4,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c05.jpg,0,both_correct,0.07944720983505249,0.011729849502444267,0.9967700839042664,0.051828958094120026,0.998657763004303,0.24146629869937897,0.9707577228546143
case_B__VS__case_A,features_img,5,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g01_c06.jpg,0,both_correct,0.09693640470504761,0.01708582229912281,0.9951438903808594,0.07270658761262894,0.9973558187484741,0.2865813374519348,0.9587470889091492
case_B__VS__case_A,features_img,6,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c01.jpg,0,MMRL_wrong_Bayes_correct,0.09091319143772125,0.014802095480263233,0.9957488179206848,0.06306985765695572,0.9980116486549377,0.29374438524246216,0.9566820859909058
case_B__VS__case_A,features_img,7,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c02.jpg,0,both_correct,0.09243664145469666,0.014917193911969662,0.9956068992614746,0.06309342384338379,0.9980106353759766,0.30763235688209534,0.9524821043014526
case_B__VS__case_A,features_img,8,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c03.jpg,0,both_correct,0.08347277343273163,0.011328834109008312,0.9964456558227539,0.06298821419477463,0.9980154037475586,0.25983527302742004,0.9661287665367126
case_B__VS__case_A,features_img,9,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g02_c04.jpg,0,MMRL_wrong_Bayes_correct,0.09492795169353485,0.01322705578058958,0.9953962564468384,0.06255841255187988,0.9980449676513672,0.30421653389930725,0.953522801399231
case_B__VS__case_A,features_img,10,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c01.jpg,0,both_correct,0.08341379463672638,0.01912512257695198,0.9963313937187195,0.04780460521578789,0.9988598823547363,0.2408457100391388,0.9708966016769409
case_B__VS__case_A,features_img,11,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c02.jpg,0,both_correct,0.07892874628305435,0.014624390751123428,0.9967730641365051,0.048518434166908264,0.998824417591095,0.2076774686574936,0.9783704280853271
case_B__VS__case_A,features_img,12,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c03.jpg,0,both_correct,0.08359052240848541,0.015217337757349014,0.9963840246200562,0.05049947276711464,0.9987269639968872,0.23737962543964386,0.9717296361923218
case_B__VS__case_A,features_img,13,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c04.jpg,0,both_correct,0.0851767510175705,0.01605815254151821,0.9962365031242371,0.06269867718219757,0.9980341196060181,0.26090899109840393,0.9658417701721191
case_B__VS__case_A,features_img,14,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c05.jpg,0,both_correct,0.08883655816316605,0.014070042409002781,0.9959467649459839,0.060431450605392456,0.9981748461723328,0.29668182134628296,0.9558191895484924
case_B__VS__case_A,features_img,15,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g03_c06.jpg,0,both_correct,0.08341383934020996,0.013976605609059334,0.9964170455932617,0.05175890028476715,0.9986621737480164,0.24350649118423462,0.9702522158622742
case_B__VS__case_A,features_img,16,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c01.jpg,0,both_correct,0.0751047134399414,0.007914283312857151,0.9971442222595215,0.06110915169119835,0.9981314539909363,0.22308853268623352,0.9750485420227051
case_B__VS__case_A,features_img,17,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c02.jpg,0,both_correct,0.07909218966960907,0.007327698171138763,0.9968404769897461,0.06062642112374306,0.9981615543365479,0.2506851851940155,0.9684839248657227
case_B__VS__case_A,features_img,18,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c03.jpg,0,MMRL_correct_Bayes_wrong,0.08513220399618149,0.011003069579601288,0.9963089227676392,0.06201418861746788,0.9980767965316772,0.25911474227905273,0.9663122296333313
case_B__VS__case_A,features_img,19,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c04.jpg,0,both_correct,0.08296593278646469,0.010355453938245773,0.996498703956604,0.05657101050019264,0.9984003901481628,0.22667834162712097,0.974224328994751
case_B__VS__case_A,features_img,20,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c05.jpg,0,both_correct,0.08635132014751434,0.022023726254701614,0.9960212707519531,0.0589941069483757,0.9982608556747437,0.25480225682258606,0.9674161076545715
case_B__VS__case_A,features_img,21,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c06.jpg,0,both_correct,0.07791854441165924,0.008884856477379799,0.9969202280044556,0.055383097380399704,0.998466432094574,0.2261885404586792,0.9743452668190002
case_B__VS__case_A,features_img,22,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g04_c07.jpg,0,both_correct,0.0843624696135521,0.019123215228319168,0.9962517023086548,0.06578613072633743,0.997835099697113,0.2395964115858078,0.9711959362030029
case_B__VS__case_A,features_img,23,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c01.jpg,0,MMRL_correct_Bayes_wrong,0.0876779705286026,0.010156897827982903,0.996097207069397,0.06647283583879471,0.9977896809577942,0.3275456428527832,0.9461544156074524
case_B__VS__case_A,features_img,24,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c02.jpg,0,both_correct,0.0886101946234703,0.014274653047323227,0.9959641695022583,0.060324352234601974,0.9981814622879028,0.2960093915462494,0.9560198783874512
case_B__VS__case_A,features_img,25,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c03.jpg,0,both_correct,0.08138040453195572,0.010435797274112701,0.99662846326828,0.05824552848935127,0.9983036518096924,0.2639250159263611,0.9650596976280212
case_B__VS__case_A,features_img,26,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c04.jpg,0,both_correct,0.08562960475683212,0.016676029190421104,0.9961875081062317,0.06413927674293518,0.9979424476623535,0.28194379806518555,0.9601090550422668
case_B__VS__case_A,features_img,27,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c05.jpg,0,both_correct,0.0871463492512703,0.012608201242983341,0.9961156845092773,0.05494346469640732,0.998492419719696,0.2732907831668854,0.962518036365509
case_B__VS__case_A,features_img,28,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c06.jpg,0,both_correct,0.07455874979496002,0.007754303980618715,0.9971864819526672,0.05515306442975998,0.9984787702560425,0.26822593808174133,0.9639300107955933
case_B__VS__case_A,features_img,29,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g05_c07.jpg,0,both_correct,0.08410482853651047,0.012613670900464058,0.996377170085907,0.06560326367616653,0.9978469014167786,0.27091559767723083,0.9631755948066711
case_B__VS__case_A,features_img,30,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c01.jpg,0,both_correct,0.08994541317224503,0.013811388052999973,0.9958509206771851,0.05908071994781494,0.9982560873031616,0.25265583395957947,0.9679582118988037
case_B__VS__case_A,features_img,31,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c02.jpg,0,both_correct,0.09431222826242447,0.013059206306934357,0.9954570531845093,0.0666348934173584,0.9977802038192749,0.2620472013950348,0.965519368648529
case_B__VS__case_A,features_img,32,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c03.jpg,0,both_correct,0.08975458145141602,0.015463648363947868,0.9958438873291016,0.06347879022359848,0.9979854822158813,0.25536924600601196,0.9672659039497375
case_B__VS__case_A,features_img,33,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c04.jpg,0,both_correct,0.08700843155384064,0.012355869635939598,0.9961309432983398,0.06458088755607605,0.9979141354560852,0.2504185140132904,0.96853107213974
case_B__VS__case_A,features_img,34,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c05.jpg,0,both_correct,0.08990959823131561,0.013548191636800766,0.9958577156066895,0.06343536823987961,0.9979884624481201,0.26449012756347656,0.9648856520652771
case_B__VS__case_A,features_img,35,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c06.jpg,0,both_correct,0.0836978629231453,0.011255648918449879,0.9964275360107422,0.05666567385196686,0.9983952045440674,0.2531827688217163,0.9678406715393066
case_B__VS__case_A,features_img,36,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g06_c07.jpg,0,both_correct,0.09025372564792633,0.01615902967751026,0.9957877993583679,0.0570167638361454,0.9983766078948975,0.2651381492614746,0.9647112488746643
case_B__VS__case_A,features_img,37,/root/autodl-tmp/MMRL/DATASETS/ucf101/UCF-101-midframes/Apply_Eye_Makeup/v_ApplyEyeMakeup_g07_c01.jpg,0,both_correct,0.08040937036275864,0.010167218744754791,0.9967101812362671,0.054040778428316116,0.9985404014587402,0.23408864438533783,0.9725162386894226
