pair_name,bayes_mode,case_type,count,fraction,MMRL_conf,Bayes_conf,MMRL_entropy,Bayes_entropy,MMRL_margin,Bayes_margin,JS,sym_KL,L1
case_B__VS__case_A,posterior_mean,both_correct,3144,0.8310864567756653,0.9437443017959595,0.9415765404701233,0.19758637249469757,0.18776868283748627,0.9054360389709473,0.8995617628097534,0.012129045091569424,0.06370595842599869,0.09620143473148346
case_B__VS__case_A,posterior_mean,MMRL_correct_Bayes_wrong,161,0.04255881533026695,0.6514498591423035,0.6109545826911926,0.9619268774986267,0.9914730787277222,0.4282633066177368,0.34711116552352905,0.1686561554670334,0.8267391324043274,0.9820623993873596
case_B__VS__case_A,posterior_mean,MMRL_wrong_Bayes_correct,89,0.023526301607489586,0.5126469731330872,0.6164988875389099,1.2737542390823364,1.0477737188339233,0.23133714497089386,0.39643722772598267,0.15356481075286865,0.7625594139099121,0.9060680866241455
case_B__VS__case_A,posterior_mean,both_wrong,389,0.10282844305038452,0.6331708431243896,0.6778860092163086,1.1163281202316284,0.9543789625167847,0.450723260641098,0.5059945583343506,0.0960393100976944,0.5053095817565918,0.5769331455230713
case_B__VS__case_A,mc_prob_mean_probs,both_correct,3179,0.8403383493423462,0.9411958456039429,0.9289897680282593,0.20574679970741272,0.2330164760351181,0.9017549157142639,0.8803371787071228,0.011228799819946289,0.05502878874540329,0.09742119163274765
case_B__VS__case_A,mc_prob_mean_probs,MMRL_correct_Bayes_wrong,126,0.033306900411844254,0.6345561742782593,0.5566330552101135,0.9683540463447571,1.0727218389511108,0.3885909616947174,0.25378474593162537,0.1166648119688034,0.5389195084571838,0.8111509084701538
case_B__VS__case_A,mc_prob_mean_probs,MMRL_wrong_Bayes_correct,100,0.026434047147631645,0.5201608538627625,0.5526409149169922,1.2731716632843018,1.2350549697875977,0.24627399444580078,0.31224754452705383,0.12374696135520935,0.5789148807525635,0.8223325610160828
case_B__VS__case_A,mc_prob_mean_probs,both_wrong,378,0.09992069751024246,0.6346904039382935,0.6275588274002075,1.1119011640548706,1.110504150390625,0.4531559348106384,0.4420619010925293,0.07610728591680527,0.37267929315567017,0.5110785961151123
case_B__VS__case_A,mc_logit_mean,both_correct,3178,0.8400740027427673,0.9412084817886353,0.9386951923370361,0.2057649940252304,0.2014571726322174,0.9018213748931885,0.8954591751098633,0.010498164221644402,0.05168681964278221,0.09121426939964294
case_B__VS__case_A,mc_logit_mean,MMRL_correct_Bayes_wrong,127,0.033571239560842514,0.6366545557975769,0.5815528035163879,0.9618940949440002,1.0170611143112183,0.39096599817276,0.2898690700531006,0.12438874691724777,0.5780155658721924,0.8402884602546692
case_B__VS__case_A,mc_logit_mean,MMRL_wrong_Bayes_correct,101,0.026698388159275055,0.521692156791687,0.5799424052238464,1.2695581912994385,1.1623804569244385,0.2480413019657135,0.34676167368888855,0.13555465638637543,0.6474605798721313,0.8631126284599304
case_B__VS__case_A,mc_logit_mean,both_wrong,377,0.0996563583612442,0.6345839500427246,0.6561324596405029,1.1124413013458252,1.0252070426940918,0.45323121547698975,0.47832369804382324,0.07840098440647125,0.3885520398616791,0.5179052352905273
