pair_name,model_label,method,eval_mode,branch,branch_cn,score,score_cn,score_family,coverage,n_total,n_keep,n_reject,full_accuracy,retained_accuracy,accuracy_gain_vs_full,full_error_rate,retained_error_rate,rejected_error_rate
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,1.0,3783,3783,0,0.8638646576790907,0.8638646576790907,0.0,0.13613534232090932,0.13613534232090932,
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.98,3783,3707,76,0.8638646576790907,0.8783382789317508,0.014473621252660052,0.13613534232090932,0.12166172106824925,0.8421052631578947
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.95,3783,3594,189,0.8638646576790907,0.8953811908736784,0.03151653319458769,0.13613534232090932,0.10461880912632164,0.7354497354497355
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.9,3783,3405,378,0.8638646576790907,0.918942731277533,0.0550780735984423,0.13613534232090932,0.08105726872246696,0.6322751322751323
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.85,3783,3216,567,0.8638646576790907,0.9365671641791045,0.07270250650001375,0.13613534232090932,0.06343283582089553,0.5485008818342152
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.8,3783,3026,757,0.8638646576790907,0.9517514871116987,0.08788682943260795,0.13613534232090932,0.04824851288830139,0.48745046235138706
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.7,3783,2648,1135,0.8638646576790907,0.9746978851963746,0.11083322751728386,0.13613534232090932,0.02530211480362538,0.3947136563876652
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.6,3783,2270,1513,0.8638646576790907,0.9872246696035242,0.12336001192443347,0.13613534232090932,0.01277533039647577,0.3212161269001983
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,1.0,3783,3783,0,0.8638646576790907,0.8638646576790907,0.0,0.13613534232090932,0.13613534232090932,
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,0.98,3783,3707,76,0.8638646576790907,0.8769894793633666,0.013124821684275867,0.13613534232090932,0.1230105206366334,0.7763157894736842
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,0.95,3783,3594,189,0.8638646576790907,0.8914858096828047,0.027621152003713956,0.13613534232090932,0.10851419031719532,0.6613756613756614
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,0.9,3783,3405,378,0.8638646576790907,0.9136563876651982,0.04979172998610748,0.13613534232090932,0.08634361233480176,0.5846560846560847
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,0.85,3783,3216,567,0.8638646576790907,0.9303482587064676,0.06648360102737694,0.13613534232090932,0.06965174129353234,0.5132275132275133
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,0.8,3783,3026,757,0.8638646576790907,0.9481163251817581,0.08425166750266744,0.13613534232090932,0.0518836748182419,0.47291941875825627
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,0.7,3783,2648,1135,0.8638646576790907,0.9712990936555891,0.10743443597649838,0.13613534232090932,0.028700906344410877,0.38678414096916297
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,0.6,3783,2270,1513,0.8638646576790907,0.9850220264317181,0.12115736875262739,0.13613534232090932,0.014977973568281937,0.317911434236616
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,1.0,3783,3783,0,0.8638646576790907,0.8638646576790907,0.0,0.13613534232090932,0.13613534232090932,
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.98,3783,3707,76,0.8638646576790907,0.8767197194496897,0.01285506177059903,0.13613534232090932,0.12328028055031022,0.7631578947368421
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.95,3783,3594,189,0.8638646576790907,0.89259877573734,0.028734118058249325,0.13613534232090932,0.10740122426266,0.6825396825396826
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.9,3783,3405,378,0.8638646576790907,0.915712187958884,0.051847530279793275,0.13613534232090932,0.084287812041116,0.6031746031746031
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.85,3783,3216,567,0.8638646576790907,0.9368781094527363,0.0730134517736456,0.13613534232090932,0.06312189054726368,0.5502645502645502
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.8,3783,3026,757,0.8638646576790907,0.949438202247191,0.08557354456810029,0.13613534232090932,0.05056179775280899,0.47820343461030385
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.7,3783,2648,1135,0.8638646576790907,0.974320241691843,0.11045558401275224,0.13613534232090932,0.0256797583081571,0.39383259911894275
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.6,3783,2270,1513,0.8638646576790907,0.9863436123348017,0.12247895465571101,0.13613534232090932,0.013656387665198238,0.3198942498347654
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,1.0,3783,3783,0,0.8429817605075337,0.8429817605075337,0.0,0.1570182394924663,0.1570182394924663,
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.98,3783,3707,76,0.8429817605075337,0.8554086862692204,0.012426925761686691,0.1570182394924663,0.1445913137307796,0.7631578947368421
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.95,3783,3594,189,0.8429817605075337,0.8703394546466333,0.02735769413909961,0.1570182394924663,0.1296605453533667,0.6772486772486772
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.9,3783,3405,378,0.8429817605075337,0.8939794419970631,0.050997681489529434,0.1570182394924663,0.10602055800293686,0.6164021164021164
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.85,3783,3216,567,0.8429817605075337,0.9166666666666666,0.07368490615913292,0.1570182394924663,0.08333333333333333,0.5749559082892416
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.8,3783,3026,757,0.8429817605075337,0.933575677461996,0.09059391695446228,0.1570182394924663,0.06642432253800397,0.5191545574636723
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.7,3783,2648,1135,0.8429817605075337,0.9626132930513596,0.11963153254382586,0.1570182394924663,0.037386706948640484,0.43612334801762115
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,0.6,3783,2270,1513,0.8429817605075337,0.9784140969162995,0.13543233640876584,0.1570182394924663,0.02158590308370044,0.3602115003304693
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,1.0,3783,3783,0,0.8429817605075337,0.8429817605075337,0.0,0.1570182394924663,0.1570182394924663,
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,0.98,3783,3707,76,0.8429817605075337,0.8554086862692204,0.012426925761686691,0.1570182394924663,0.1445913137307796,0.7631578947368421
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,0.95,3783,3594,189,0.8429817605075337,0.8700612131329994,0.02707945262546574,0.1570182394924663,0.12993878686700056,0.671957671957672
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,0.9,3783,3405,378,0.8429817605075337,0.8945668135095448,0.051585053002011105,0.1570182394924663,0.10543318649045522,0.6216931216931217
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,0.85,3783,3216,567,0.8429817605075337,0.9123134328358209,0.06933167232828719,0.1570182394924663,0.08768656716417911,0.5502645502645502
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,0.8,3783,3026,757,0.8429817605075337,0.9289491077329808,0.08596734722544708,0.1570182394924663,0.07105089226701916,0.5006605019815059
