pair_name,branch,branch_cn,score,score_cn,coverage,accuracy_gain_vs_full_BayesMMRL,accuracy_gain_vs_full_MMRL,full_accuracy_BayesMMRL,full_accuracy_MMRL,rejected_error_rate_BayesMMRL,rejected_error_rate_MMRL,retained_accuracy_BayesMMRL,retained_accuracy_MMRL,retained_error_rate_BayesMMRL,retained_error_rate_MMRL,delta_full_accuracy_Bayes_minus_MMRL,delta_retained_accuracy_Bayes_minus_MMRL,delta_accuracy_gain_vs_full_Bayes_minus_MMRL,delta_retained_error_rate_Bayes_minus_MMRL,delta_rejected_error_rate_Bayes_minus_MMRL
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,1.0,0.0,0.0,0.8667724028548771,0.8736452550885541,,,0.8667724028548771,0.8736452550885541,0.13322759714512292,0.12635474491144594,-0.0068728522336769515,-0.0068728522336769515,0.0,0.006872852233676979,
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.98,0.012105395904227323,0.014134620821885657,0.8667724028548771,0.8736452550885541,0.7236842105263158,0.8157894736842105,0.8788777987591044,0.8877798759104397,0.12112220124089561,0.1122201240895603,-0.0068728522336769515,-0.008902077151335286,-0.0020292249176583343,0.008902077151335314,-0.09210526315789469
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.95,0.02749582196426592,0.0320308717895762,0.8667724028548771,0.8736452550885541,0.656084656084656,0.7354497354497355,0.894268224819143,0.9056761268781303,0.10573177518085698,0.09432387312186978,-0.0068728522336769515,-0.01140790205898723,-0.004535049825310278,0.011407902058987202,-0.07936507936507942
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.9,0.050408213885210995,0.054695420388685245,0.8667724028548771,0.8736452550885541,0.5873015873015873,0.6190476190476191,0.9171806167400881,0.9283406754772393,0.0828193832599119,0.07165932452276065,-0.0068728522336769515,-0.011160058737151202,-0.00428720650347425,0.011160058737151243,-0.031746031746031744
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.85,0.07041665187149104,0.07100648620497829,0.8667724028548771,0.8736452550885541,0.5326278659611993,0.5291005291005291,0.9371890547263682,0.9446517412935324,0.06281094527363185,0.05534825870646766,-0.0068728522336769515,-0.007462686567164201,-0.0005898343334872491,0.007462686567164187,0.003527336860670194
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.8,0.08564002278953797,0.08603749441574204,0.8667724028548771,0.8736452550885541,0.47556142668428003,0.4702774108322325,0.9524124256444151,0.9596827495042961,0.04758757435558493,0.0403172504957039,-0.0068728522336769515,-0.007270323859881023,-0.00039747162620407117,0.00727032385988103,0.005284015852047519
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.7,0.10905841285509266,0.10407377814407437,0.8667724028548771,0.8736452550885541,0.3876651982378855,0.36916299559471366,0.9758308157099698,0.9777190332326284,0.02416918429003021,0.0222809667673716,-0.0068728522336769515,-0.001888217522658664,0.004984634711018288,0.001888217522658612,0.018502202643171817
case_B__VS__case_A,fusion,融合分支,one_minus_confidence,低置信度,0.6,0.12221438128609208,0.1157820576867763,0.8667724028548771,0.8736452550885541,0.3165895571711831,0.30006609385327165,0.9889867841409692,0.9894273127753304,0.011013215859030838,0.010572687224669603,-0.0068728522336769515,-0.0004405286343611703,0.006432323599315781,0.0004405286343612345,0.016523463317911435
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,1.0,0.0,0.0,0.8667724028548771,0.8736452550885541,,,0.8667724028548771,0.8736452550885541,0.13322759714512292,0.12635474491144594,-0.0068728522336769515,-0.0068728522336769515,0.0,0.006872852233676979,
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.98,0.011296116163196812,0.010627741944086888,0.8667724028548771,0.8736452550885541,0.6842105263157895,0.6447368421052632,0.8780685190180739,0.884272997032641,0.12193148098192609,0.11572700296735905,-0.0068728522336769515,-0.0062044780145670275,0.000668374219109924,0.006204478014567041,0.03947368421052633
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.95,0.025269889855195182,0.02813549059870246,0.8667724028548771,0.8736452550885541,0.6137566137566137,0.6613756613756614,0.8920422927100723,0.9017807456872565,0.10795770728992765,0.09821925431274346,-0.0068728522336769515,-0.009738452977184231,-0.0028656007435072794,0.00973845297718419,-0.04761904761904767
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.9,0.04747135632280275,0.05058381980131377,0.8667724028548771,0.8736452550885541,0.5608465608465608,0.582010582010582,0.9142437591776799,0.9242290748898678,0.08575624082232011,0.07577092511013216,-0.0068728522336769515,-0.00998531571218797,-0.0031124634785110183,0.009985315712187956,-0.021164021164021163
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.85,0.06917287077696366,0.0703845956577146,0.8667724028548771,0.8736452550885541,0.5255731922398589,0.5255731922398589,0.9359452736318408,0.9440298507462687,0.0640547263681592,0.055970149253731345,-0.0068728522336769515,-0.008084577114427893,-0.0012117248807509418,0.008084577114427859,0.0
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.8,0.08266579939231389,0.08570702514938378,0.8667724028548771,0.8736452550885541,0.46367239101717306,0.46895640686922063,0.949438202247191,0.9593522802379378,0.05056179775280899,0.04064771976206213,-0.0068728522336769515,-0.009914077990746839,-0.0030412257570698875,0.00991407799074686,-0.005284015852047574
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.7,0.10679255182790237,0.10294084763047917,0.8667724028548771,0.8736452550885541,0.38237885462555066,0.36651982378854625,0.9735649546827795,0.9765861027190332,0.026435045317220542,0.023413897280966767,-0.0068728522336769515,-0.0030211480362537513,0.0038517041974232002,0.0030211480362537756,0.015859030837004406
case_B__VS__case_A,fusion,融合分支,one_minus_probability_margin,低决策间隔,0.6,0.12221438128609208,0.11446047178369267,0.8667724028548771,0.8736452550885541,0.3165895571711831,0.29808327825512226,0.9889867841409692,0.9881057268722467,0.011013215859030838,0.011894273127753305,-0.0068728522336769515,0.0008810572687224516,0.007753909502399403,-0.0008810572687224672,0.018506278916060825
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,1.0,0.0,0.0,0.8667724028548771,0.8736452550885541,,,0.8667724028548771,0.8736452550885541,0.13322759714512292,0.12635474491144594,-0.0068728522336769515,-0.0068728522336769515,0.0,0.006872852233676979,
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.98,0.012644915731580997,0.014404380735562494,0.8667724028548771,0.8736452550885541,0.75,0.8289473684210527,0.8794173185864581,0.8880496358241166,0.12058268141354195,0.11195036417588346,-0.0068728522336769515,-0.008632317237658449,-0.0017594650039814974,0.00863231723765849,-0.07894736842105265
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.95,0.02638285590973055,0.0320308717895762,0.8667724028548771,0.8736452550885541,0.6349206349206349,0.7354497354497355,0.8931552587646077,0.9056761268781303,0.10684474123539232,0.09432387312186978,-0.0068728522336769515,-0.012520868113522599,-0.005648015879845647,0.012520868113522543,-0.10052910052910058
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.9,0.04893978510400687,0.05234593433875867,0.8667724028548771,0.8736452550885541,0.5740740740740741,0.5978835978835979,0.915712187958884,0.9259911894273127,0.084287812041116,0.07400881057268723,-0.0068728522336769515,-0.01027900146842875,-0.0034061492347517985,0.010279001468428778,-0.023809523809523836
case_B__VS__case_A,fusion,融合分支,predictive_entropy,预测熵,0.85,0.06637436331427715,0.0697627051104509,0.8667724028548771,0.8736452550885541,0.5097001763668431,0.5220458553791887,0.9331467661691543,0.943407960199005,0.06685323383084577,0.056592039800995024,-0.0068728522336769515,-0.010261194029850706,-0.003388341796173755,0.010261194029850741,-0.012345679012345623
