pair_name,model_label,method,eval_mode,branch,branch_cn,score,score_cn,score_family,n,n_error,error_rate,accuracy,AUROC_error,AUPR_error,correct_score_mean,wrong_score_mean,wrong_over_correct_score_mean
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_confidence,低置信度,普通概率分数,3783,515,0.13613533973693848,0.8638646602630615,0.9064568454326152,0.6066617323006086,0.11079229414463043,0.4584730565547943,4.1381312671104595
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,predictive_entropy,预测熵,普通概率分数,3783,515,0.13613533973693848,0.8638646602630615,0.8969221993796865,0.5641521503841045,0.4020490348339081,1.418867588043213,3.5290908946700155
case_B__VS__case_A,MMRL,MMRL,standard,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,3783,515,0.13613533973693848,0.8638646602630615,0.9029773858896507,0.5722576564263934,0.17295069992542267,0.6683679819107056,3.8645000118467845
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_confidence,低置信度,普通概率分数,3783,594,0.15701824426651,0.84298175573349,0.89187236639416,0.5718177067484023,0.1162501722574234,0.44052913784980774,3.789492344788133
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,predictive_entropy,预测熵,普通概率分数,3783,594,0.15701824426651,0.84298175573349,0.8863855445856073,0.5587638286254508,0.37983566522598267,1.2728413343429565,3.3510316457136313
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,one_minus_probability_margin,低决策间隔,普通概率分数,3783,594,0.15701824426651,0.84298175573349,0.8860318455802934,0.5278946842682541,0.18821929395198822,0.6665723323822021,3.541466543553363
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,mutual_information,互信息,Bayes采样分数,3783,594,0.15701824426651,0.84298175573349,0.8622036187103607,0.48422303757283114,0.01970612071454525,0.06980594247579575,3.5423482626020557
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,variation_ratio,投票分歧率,Bayes采样分数,3783,594,0.15701824426651,0.84298175573349,0.7772382548174332,0.48867165617988123,0.027500782161951065,0.18661616742610931,6.785849447013317
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,vote_entropy,投票熵,Bayes采样分数,3783,594,0.15701824426651,0.84298175573349,0.7781330605099812,0.5102126587499831,0.06421047449111938,0.41796520352363586,6.50929940692842
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,3783,594,0.15701824426651,0.84298175573349,0.5679571929179956,0.1812142460490484,0.5500175356864929,0.575491189956665,1.0463142583961031
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,3783,667,0.1763150990009308,0.8236849308013916,0.8847121689476186,0.5931453516156895,0.04465645179152489,0.26174575090408325,5.861319930343382
