case_name,method,dataset,shots,seed,split,eval_mode,branch,n,acc,macro_f1,confidence_mean,ECE,entropy_mean,margin_mean,NLL,Brier
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,PM,logits,2465,0.9622718095779419,0.9436330805423632,0.9603854417800903,0.008451517671346664,0.13330080610165512,0.930513345886921,0.10888182166050371,0.05464293977964666
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,PM,rep,2465,0.9557809233665466,0.9375542328406098,0.9771857857704163,0.023977553471922874,0.06685174416219317,0.9592203858416173,0.17113692493136384,0.07074121475078189
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,PM,fusion,2465,0.9655172228813171,0.9486452699451062,0.9743654131889343,0.011885315179824829,0.07932743245376848,0.9537435680265117,0.09988254681391819,0.05064201703590297
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_prob_mean,logits,2465,0.9651115536689758,0.9472011537173891,0.9583700299263,0.010986818000674248,0.13939030104115338,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_prob_mean,rep,2465,0.9590263962745667,0.9420186963052509,0.9748367667198181,0.022569771856069565,0.07323349239640749,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_prob_mean,fusion,2465,0.9671399593353271,0.9506513569812136,0.9727111458778381,0.008523653261363506,0.08407748870953395,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_logit_mean,logits,2465,0.9651115536689758,0.9472011537173891,0.9605405330657959,0.012018643319606781,0.13263017035212932,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_logit_mean,rep,2465,0.9586206674575806,0.9411993202789785,0.9777032732963562,0.022824915125966072,0.0658444095353071,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_logit_mean,fusion,2465,0.9671399593353271,0.9506513569812136,0.9743941426277161,0.009175807237625122,0.07927214213265628,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_majority_vote,logits,2465,0.9655172228813171,0.9475675397619718,,,,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_majority_vote,rep,2465,0.9590263962745667,0.9411048158723537,,,,,,
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,MC_majority_vote,fusion,2465,0.9663286209106445,0.9495132738375988,,,,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,PM,logits,2465,0.9655172228813171,0.9475793399731366,0.9667739868164062,0.007987724617123604,0.11504302831207078,0.9422693738589181,0.10659095622878408,0.05225330950712998
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,PM,rep,2465,0.959432065486908,0.9406286364832112,0.9793511629104614,0.022962283343076706,0.062404454458200295,0.9634098317451457,0.18118984716277142,0.06768981676120586
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,PM,fusion,2465,0.9699797034263611,0.954913897162679,0.9767982363700867,0.014354371465742588,0.07319975073921937,0.9585826813751496,0.10347294366744339,0.04968906180400336
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_prob_mean,logits,2465,0.9655172228813171,0.9475793399731366,0.9667739868164062,0.007987725548446178,0.11504302749120182,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_prob_mean,rep,2465,0.959432065486908,0.9406286364832112,0.9793511629104614,0.022962283343076706,0.06240445447290035,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_prob_mean,fusion,2465,0.9699797034263611,0.954913897162679,0.9767982363700867,0.014354371465742588,0.07319975047852166,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_logit_mean,logits,2465,0.9655172228813171,0.9475793399731366,0.9667739868164062,0.007987727411091328,0.11504302093143032,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_logit_mean,rep,2465,0.959432065486908,0.9406286364832112,0.9793511629104614,0.022962283343076706,0.06240445252212114,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_logit_mean,fusion,2465,0.9699797034263611,0.954913897162679,0.9767982363700867,0.014354372397065163,0.07319974408073682,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_majority_vote,logits,2465,0.9655172228813171,0.9475793399731366,,,,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_majority_vote,rep,2465,0.959432065486908,0.9406286364832112,,,,,,
MMRL_caltech101_16shot_seed1,MMRL,caltech101,16,1,test,MC_majority_vote,fusion,2465,0.9699797034263611,0.954913897162679,,,,,,
