dataset,shots,seed,split,label,count,MMRL_acc,Bayes_PM_acc,Bayes_MC_prob_acc,harmful_flip,beneficial_flip,Bayes_MI,Bayes_conf,delta_acc_PM
caltech101,16,1,test,0,130,1.0,1.0,1.0,0,0,0.0005437542397815448,0.9927465768960806,0.0
caltech101,16,1,test,1,60,0.9666666666666667,0.95,0.9666666666666667,1,0,0.006340531279177716,0.9552516907453537,-0.01666666666666672
caltech101,16,1,test,2,239,1.0,1.0,1.0,0,0,6.116690332358353e-05,0.9980459235702099,0.0
caltech101,16,1,test,3,16,1.0,1.0,1.0,0,0,4.386003638501279e-06,0.9999682046473026,0.0
caltech101,16,1,test,4,240,1.0,1.0,1.0,0,0,0.0004966869601048529,0.9900206630428632,0.0
caltech101,16,1,test,5,13,0.9230769230769231,0.8461538461538461,0.8461538461538461,1,0,0.010356770720626138,0.9368605476159316,-0.07692307692307698
caltech101,16,1,test,6,13,1.0,1.0,1.0,0,0,0.004549882929915419,0.9794319180341867,0.0
caltech101,16,1,test,7,14,1.0,1.0,1.0,0,0,4.285387383008908e-05,0.9995586105755397,0.0
caltech101,16,1,test,8,16,0.9375,1.0,1.0,0,1,0.0006626834923508795,0.9918416254222393,0.0625
caltech101,16,1,test,9,14,0.8571428571428571,0.9285714285714286,0.9285714285714286,0,1,0.012899921011661977,0.9130380025931767,0.07142857142857151
caltech101,16,1,test,10,10,0.9,0.9,0.9,0,0,0.008212070062290877,0.9476191163063049,0.0
caltech101,16,1,test,11,38,1.0,1.0,1.0,0,0,7.831425041092044e-06,0.9999061148417624,0.0
caltech101,16,1,test,12,29,1.0,1.0,1.0,0,0,9.628199241605813e-05,0.9984455560815746,0.0
caltech101,16,1,test,13,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0,0,0.0021712533731867247,0.9910199493169785,0.0
caltech101,16,1,test,14,26,1.0,1.0,1.0,0,0,6.486769192493879e-05,0.9992707463411185,0.0
caltech101,16,1,test,15,27,1.0,1.0,1.0,0,0,0.003060342041189196,0.9705058490788495,0.0
caltech101,16,1,test,16,15,1.0,1.0,1.0,0,0,0.0030183471739292146,0.9773271322250366,0.0
caltech101,16,1,test,17,12,1.0,1.0,1.0,0,0,0.0021612467583812154,0.9736671696106592,0.0
caltech101,16,1,test,18,36,1.0,1.0,1.0,0,0,0.00018582231779065396,0.9966220772928662,0.0
caltech101,16,1,test,19,14,1.0,1.0,1.0,0,0,0.0022831994774605846,0.988725836787905,0.0
caltech101,16,1,test,20,17,1.0,1.0,1.0,0,0,0.0007410372490994632,0.9978604982880985,0.0
caltech101,16,1,test,21,19,0.5789473684210527,0.47368421052631576,0.42105263157894735,2,0,0.01309502105179586,0.7659648688215959,-0.10526315789473689
caltech101,16,1,test,22,32,1.0,1.0,1.0,0,0,0.0010853031799342716,0.9885392524302006,0.0
caltech101,16,1,test,23,14,0.9285714285714286,1.0,1.0,0,1,0.0058949046568678954,0.9450423674924033,0.0714285714285714
caltech101,16,1,test,24,21,0.9523809523809523,0.9047619047619048,0.9047619047619048,1,0,0.0026649891931031433,0.9571175291424706,-0.04761904761904756
caltech101,16,1,test,25,22,0.9545454545454546,0.9090909090909091,0.9090909090909091,1,0,0.011885320069268346,0.9643904214555566,-0.045454545454545525
caltech101,16,1,test,26,21,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0.01848134318632739,0.9091910223166147,0.0
caltech101,16,1,test,27,15,1.0,1.0,1.0,0,0,0.010990339455505212,0.9075577775637309,0.0
caltech101,16,1,test,28,15,0.6,0.6,0.5333333333333333,1,1,0.018363545338312786,0.8362594366073608,0.0
caltech101,16,1,test,29,18,0.9444444444444444,0.8888888888888888,0.8888888888888888,1,0,0.0025903722918074992,0.9410723480913374,-0.05555555555555558
caltech101,16,1,test,30,20,1.0,1.0,1.0,0,0,1.2679441715590655e-05,0.9998599827289582,0.0
caltech101,16,1,test,31,16,1.0,1.0,1.0,0,0,0.0004917015439787065,0.9953171871602535,0.0
caltech101,16,1,test,32,20,1.0,1.0,1.0,0,0,0.0033454279488069004,0.9798240453004837,0.0
caltech101,16,1,test,33,20,0.95,1.0,1.0,0,1,0.01606998638017103,0.9358344405889512,0.050000000000000044
caltech101,16,1,test,34,22,1.0,1.0,1.0,0,0,0.0015905041707975959,0.9825159175829454,0.0
caltech101,16,1,test,35,19,0.9473684210526315,1.0,1.0,0,1,0.0023241644284050715,0.9879461777837653,0.052631578947368474
caltech101,16,1,test,36,16,1.0,1.0,1.0,0,0,0.006507726262498181,0.9746877513825893,0.0
caltech101,16,1,test,37,19,1.0,1.0,1.0,0,0,0.001550601109078056,0.9828210504431474,0.0
caltech101,16,1,test,38,26,1.0,1.0,1.0,0,0,0.00029347584831367177,0.9953823639796331,0.0
caltech101,16,1,test,39,20,1.0,1.0,1.0,0,0,0.0019025234767468646,0.9728512346744538,0.0
caltech101,16,1,test,40,20,1.0,1.0,1.0,0,0,0.002309566433541477,0.9802453577518463,0.0
caltech101,16,1,test,41,14,0.9285714285714286,0.9285714285714286,0.9285714285714286,0,0,0.010574149500046457,0.9132705926895142,0.0
caltech101,16,1,test,42,10,1.0,1.0,1.0,0,0,0.00010011442063841968,0.9993136346340179,0.0
caltech101,16,1,test,43,10,1.0,0.9,0.9,1,0,0.004627447866369039,0.9728572130203247,-0.09999999999999998
caltech101,16,1,test,44,15,1.0,1.0,1.0,0,0,0.000586816497767965,0.9935234308242797,0.0
caltech101,16,1,test,45,29,1.0,0.9655172413793104,1.0,1,0,0.0014157877775342685,0.9739606257142692,-0.03448275862068961
