dataset,shots,seed,split,sample_index,label,MMRL_case,MMRL_pred,MMRL_correct,MMRL_conf,MMRL_entropy,MMRL_margin,Bayes_case,Bayes_PM_pred,Bayes_PM_correct,Bayes_PM_conf,Bayes_PM_entropy,Bayes_PM_margin,MC_fusion_prob_mean_pred,MC_fusion_prob_mean_correct,MC_fusion_MI,MC_fusion_variation_ratio,MC_fusion_sample_agreement,paired_case_type,difficulty_group
caltech101,16,1,test,0,0,MMRL_caltech101_16shot_seed1,0,1,0.9969931840896606,0.02983364835381508,0.9964950084686279,BayesMMRL_caltech101_16shot_seed1,0,1,0.995895266532898,0.039575107395648956,0.9953596591949463,0,1,0.00045623257756233215,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,1,0,MMRL_caltech101_16shot_seed1,0,1,0.9918043613433838,0.0721546858549118,0.990585207939148,BayesMMRL_caltech101_16shot_seed1,0,1,0.9830705523490906,0.1303568333387375,0.9777284860610962,0,1,0.0012139827013015747,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,2,0,MMRL_caltech101_16shot_seed1,0,1,0.9973606467247009,0.025982707738876343,0.9967122077941895,BayesMMRL_caltech101_16shot_seed1,0,1,0.9982023239135742,0.018725456669926643,0.9979304075241089,0,1,0.0001725573092699051,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,3,0,MMRL_caltech101_16shot_seed1,0,1,0.9636175632476807,0.2279416024684906,0.943758487701416,BayesMMRL_caltech101_16shot_seed1,0,1,0.9071815609931946,0.5367133617401123,0.8832522630691528,0,1,0.007268130779266357,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,4,0,MMRL_caltech101_16shot_seed1,0,1,0.9938243627548218,0.050396181643009186,0.990664541721344,BayesMMRL_caltech101_16shot_seed1,0,1,0.9915647506713867,0.06695681810379028,0.9873989820480347,0,1,0.0010259076952934265,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,5,0,MMRL_caltech101_16shot_seed1,0,1,0.9974952936172485,0.024002501741051674,0.9968815445899963,BayesMMRL_caltech101_16shot_seed1,0,1,0.9915591478347778,0.06682844460010529,0.9889844059944153,0,1,0.000661410391330719,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,6,0,MMRL_caltech101_16shot_seed1,0,1,0.9975333213806152,0.025055501610040665,0.9972217082977295,BayesMMRL_caltech101_16shot_seed1,0,1,0.9974598288536072,0.02583366259932518,0.9971494674682617,0,1,0.00021492689847946167,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,7,0,MMRL_caltech101_16shot_seed1,0,1,0.9970906972885132,0.028015704825520515,0.9963496327400208,BayesMMRL_caltech101_16shot_seed1,0,1,0.9923007488250732,0.06675029546022415,0.9908937811851501,0,1,0.0010374411940574646,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,8,0,MMRL_caltech101_16shot_seed1,0,1,0.999352753162384,0.006979828700423241,0.9991371035575867,BayesMMRL_caltech101_16shot_seed1,0,1,0.9979377388954163,0.020111732184886932,0.9974064230918884,0,1,0.0001372992992401123,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,9,0,MMRL_caltech101_16shot_seed1,0,1,0.9992656111717224,0.007930335588753223,0.9990605115890503,BayesMMRL_caltech101_16shot_seed1,0,1,0.9981020092964172,0.018707020208239555,0.9975705742835999,0,1,0.000136667862534523,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
caltech101,16,1,test,10,0,MMRL_caltech101_16shot_seed1,0,1,0.998457670211792,0.014608296565711498,0.9976710677146912,BayesMMRL_caltech101_16shot_seed1,0,1,0.9967235922813416,0.030009103938937187,0.9955050945281982,0,1,0.00031743012368679047,0.0,1.0,both_correct,ambiguous_by_Bayes_MC
