sample_index,path,y,y_name,pred_text,pred_support,pred_final,pred_text_name,pred_support_name,pred_final_name,correct_text,correct_support,correct_final,error_text,error_support,error_final,js_text_support,one_minus_cos_text_support,top1_disagree_text_support,margin_conflict_text_support,msp_text,entropy_text,margin_text,energy_text,msp_support,entropy_support,margin_support,energy_support,msp_final,entropy_final,margin_final,energy_final,one_minus_msp_text,neg_margin_text,one_minus_msp_support,neg_margin_support,one_minus_msp_final,neg_margin_final,support_density_maxsim,support_density_topk_mean,support_density_top5_mean,ignorance_score,conflict_aware_confidence,conflict_aware_error_score,top3_text,top3_support,top3_final
0,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0426.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.19864163794062706,0.07300276326087651,0,0.0,0.4765849920745438,2.337619735537398,0.3382794425240131,-26.33908,0.22529416,4.029225072223793,0.20461954151997894,-1.1920929e-07,0.35093956560531825,3.3820640418212222,0.2766675406339212,1.1920929e-07,0.5234150079254563,-0.3382794425240131,0.7747058,-0.20461954151997894,0.6490604343946818,-0.2766675406339212,0.8551416,0.7424289,0.81801635,-0.7424289,0.17606769198434136,0.8239323080156586,face:0.4766; cougar_face:0.1383; platypus:0.0655,face:0.2253; brain:0.0207; panda:0.0199,face:0.3509; cougar_face:0.0743; platypus:0.0377
1,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0239.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.16946374161847108,0.06724424041819133,0,0.0,0.30461566542558655,3.164653536656068,0.24897933111303083,-25.197866,0.61192286,2.273818755962751,0.5714128987347787,-1.7881393e-07,0.4582692309425541,2.8886998879278805,0.4101961149239048,-5.9604645e-08,0.6953843345744135,-0.24897933111303083,0.38807714,-0.5714128987347787,0.5417307690574459,-0.4101961149239048,0.9011686,0.80574256,0.8934043,-0.80574256,0.24807264113932379,0.7519273588606762,face:0.3046; ant:0.0556; menorah:0.0491,face:0.6119; ant:0.0405; dolphin:0.0341,face:0.4583; ant:0.0481; menorah:0.0263
2,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0353.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.18165213728710528,0.07994381723966515,0,0.0,0.5026406306589367,2.081314804752645,0.3066597373892035,-26.001396,0.43405762,3.1413840315537467,0.404046712358362,-1.1920929e-07,0.4683491198543822,2.793001555440302,0.36748597111285497,5.9604645e-08,0.4973593693410633,-0.3066597373892035,0.5659424,-0.404046712358362,0.5316508801456178,-0.36748597111285497,0.93065625,0.8529724,0.92718714,-0.8529724,0.24543246275707734,0.7545675372429227,face:0.5026; cougar_face:0.1960; snoopy:0.0626,face:0.4341; stapler:0.0300; leopard:0.0267,face:0.4683; cougar_face:0.1009; snoopy:0.0337
3,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0320.jpg,0,face,90,0,0,tick,face,face,0,1,1,1,0,0,0.3180364189124502,0.823680736290476,1,0.4713837284843627,0.25939592760297286,2.9883468899641454,0.10228804960665727,-25.213854,0.24941367,3.9411963782366755,0.22574006440597122,-0.0,0.14209618631839016,3.782808053012861,0.011074658168698015,1.1920929e-07,0.7406040723970271,-0.10228804960665727,0.75058633,-0.22574006440597122,0.8579038136816098,-0.011074658168698015,0.7489815,0.71354425,0.74575245,-0.71354425,0.054859535403592875,0.9451404645964071,tick:0.2594; scissors:0.1571; ant:0.0814,face:0.2494; stop_sign:0.0237; dalmatian:0.0191,face:0.1421; tick:0.1310; scissors:0.0830
4,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0425.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.2255740698705837,0.1763426157321244,0,0.0,0.4292097906677427,1.8994684242811026,0.11638282943635841,-26.621496,0.3343776,3.645782359925342,0.3157528830510587,-0.0,0.3817936821371286,2.998199461973806,0.21692837964214123,5.9604645e-08,0.5707902093322573,-0.11638282943635841,0.6656224,-0.3157528830510587,0.6182063178628714,-0.21692837964214123,0.87487537,0.7468498,0.84625924,-0.7468498,0.17942525598574713,0.8205747440142529,face:0.4292; cougar_face:0.3128; cougar_body:0.0439,face:0.3344; panda:0.0186; cougar_face:0.0169,face:0.3818; cougar_face:0.1649; cougar_body:0.0260
5,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0200.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.16402924503007954,0.03310425814845619,0,0.0,0.44891973026072596,2.5885118226672414,0.38111299011609356,-25.054684,0.81560576,1.252878856064425,0.7985153286678597,2.8312206e-07,0.632262777994822,2.0847245843959126,0.5974889943557962,-2.9802322e-08,0.551080269739274,-0.38111299011609356,0.18439424,-0.7985153286678597,0.367737222005178,-0.5974889943557962,0.9344012,0.8541051,0.93082494,-0.8541051,0.34736922191104647,0.6526307780889535,face:0.4489; cougar_face:0.0678; cellphone:0.0464,face:0.8156; chandelier:0.0171; car_side:0.0116,face:0.6323; cougar_face:0.0348; cellphone:0.0240
6,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0286.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.12546961750333607,0.03578065941397868,0,0.0,0.4197974335787663,2.7333373588165655,0.3514768562795718,-26.551294,0.5843311,2.547550504087792,0.5737738518181772,-1.7881393e-07,0.5020642313045085,2.7659135489555142,0.46588017566987927,-5.9604645e-08,0.5802025664212337,-0.3514768562795718,0.4156689,-0.5737738518181772,0.4979357686954915,-0.46588017566987927,0.9026139,0.8027817,0.89636785,-0.8027817,0.3085168042140599,0.6914831957859401,face:0.4198; platypus:0.0683; brontosaurus:0.0594,face:0.5843; dolphin:0.0106; anchor:0.0104,face:0.5021; platypus:0.0362; brontosaurus:0.0323
7,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0268.jpg,0,face,24,0,24,cougar_face,face,cougar_face,0,1,0,1,0,1,0.40989597108190345,0.6391238512584475,1,0.48280048181666524,0.5672651723413507,1.5572966123024685,0.35647818598582726,-27.514189,0.13668473,4.305716702857372,0.10679956250709588,-0.0,0.2888138077805739,3.341402628661824,0.11507794507749466,-0.0,0.43273482765864935,-0.35647818598582726,0.8633153,-0.10679956250709588,0.711186192219426,-0.11507794507749466,0.7803115,0.73536557,0.7718409,-0.73536557,0.09470920336405661,0.9052907966359434,cougar_face:0.5673; face:0.2108; cougar_body:0.0975,face:0.1367; dalmatian:0.0299; hedgehog:0.0165,cougar_face:0.2888; face:0.1737; cougar_body:0.0530
8,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0372.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.21124933427503728,0.256766956480977,0,0.0,0.37397847010777174,2.1178528724765275,0.0395235889917277,-27.989107,0.685502,1.8984827374147462,0.634534100173527,8.940697e-08,0.5297402646630044,2.219417139220674,0.35995204417134985,-0.0,0.6260215298922283,-0.0395235889917277,0.314498,-0.634534100173527,0.4702597353369956,-0.35995204417134985,0.93821526,0.82864237,0.9303621,-0.82864237,0.25762486185994515,0.7423751381400548,face:0.3740; flamingo_head:0.3345; crocodile_head:0.0359,face:0.6855; saxophone:0.0510; ferry:0.0189,face:0.5297; flamingo_head:0.1698; saxophone:0.0259
9,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0157.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.2419478622666863,0.17857118034764952,0,0.0,0.28805572720780087,2.9022227729668937,0.15615709913862022,-26.181547,0.72591,1.6073984085824014,0.6785956738186835,-8.940697e-08,0.5069828499293138,2.4967584530413336,0.4404954789135293,-0.0,0.7119442727921992,-0.15615709913862022,0.27409,-0.6785956738186835,0.49301715007068625,-0.4404954789135293,0.9466233,0.8627993,0.9386511,-0.8627993,0.22943106787713485,0.7705689321228651,face:0.2881; cougar_face:0.1319; tick:0.1104,face:0.7259; trilobite:0.0473; binocular:0.0263,face:0.5070; cougar_face:0.0665; tick:0.0559
10,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0024.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.18932652117488355,0.15052391186665715,0,0.0,0.3629573331477726,2.4490556943992963,0.18750120987474017,-27.870989,0.45556414,3.1210448552232375,0.43308398584101027,5.9604645e-08,0.409260714140567,2.974376795986151,0.3179938622378754,-0.0,0.6370426668522273,-0.18750120987474017,0.54443586,-0.43308398584101027,0.590739285859433,-0.3179938622378754,0.93953305,0.8096706,0.9250711,-0.8096706,0.21024034679452472,0.7897596532054753,face:0.3630; cougar_face:0.1755; garfield:0.1452,face:0.4556; lobster:0.0225; yin_yang:0.0220,face:0.4093; cougar_face:0.0913; garfield:0.0757
