sample_index,path,y,y_name,pred_text,pred_support,pred_final,pred_text_name,pred_support_name,pred_final_name,correct_text,correct_support,correct_final,error_text,error_support,error_final,js_text_support,one_minus_cos_text_support,top1_disagree_text_support,margin_conflict_text_support,msp_text,entropy_text,margin_text,energy_text,msp_support,entropy_support,margin_support,energy_support,msp_final,entropy_final,margin_final,energy_final,one_minus_msp_text,neg_margin_text,one_minus_msp_support,neg_margin_support,one_minus_msp_final,neg_margin_final,support_density_maxsim,support_density_topk_mean,support_density_top5_mean,ignorance_score,conflict_aware_confidence,conflict_aware_error_score,top3_text,top3_support,top3_final
0,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0426.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.19017114164274146,0.06864228550912144,0,0.0,0.4765849920745438,2.337619735537398,0.3382794425240131,-26.33908,0.25670177,3.8778979256598394,0.23119662368891897,-1.1920929e-07,0.3666433768757693,3.29792997224136,0.2939637452897978,-0.0,0.5234150079254563,-0.3382794425240131,0.74329823,-0.23119662368891897,0.6333566231242307,-0.2939637452897978,0.8551416,0.7424289,0.81801635,-0.7424289,0.18793977193294564,0.8120602280670544,face:0.4766; cougar_face:0.1383; platypus:0.0655,face:0.2567; brain:0.0255; panda:0.0225,face:0.3666; cougar_face:0.0727; platypus:0.0377
1,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0239.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.183701494856495,0.07470039258847239,0,0.0,0.30461566542558655,3.164653536656068,0.24897933111303083,-25.197866,0.7451045,1.7096753179090447,0.7358007679050715,-2.0861626e-07,0.5248600524589112,2.6208659221390516,0.4951601342026611,5.9604645e-08,0.6953843345744135,-0.24897933111303083,0.2548955,-0.7358007679050715,0.4751399475410888,-0.4951601342026611,0.9011686,0.80574256,0.8934043,-0.80574256,0.2735772779072491,0.7264227220927508,face:0.3046; ant:0.0556; menorah:0.0491,face:0.7451; brain:0.0093; wheelchair:0.0083,face:0.5249; ant:0.0297; menorah:0.0264
2,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0353.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.14339954916929554,0.07279169234767346,0,0.0,0.5026406306589367,2.081314804752645,0.3066597373892035,-26.001396,0.561661,2.626397058576202,0.53422252156577,5.9604645e-08,0.5321508113418109,2.49725548083372,0.4310113270647577,-5.9604645e-08,0.4973593693410633,-0.3066597373892035,0.438339,-0.53422252156577,0.46784918865818914,-0.4310113270647577,0.93065625,0.8529724,0.92718714,-0.8529724,0.3099309900837763,0.6900690099162237,face:0.5026; cougar_face:0.1960; snoopy:0.0626,face:0.5617; dalmatian:0.0274; anchor:0.0109,face:0.5322; cougar_face:0.1011; snoopy:0.0338
3,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0320.jpg,0,face,90,0,0,tick,face,face,0,1,1,1,0,0,0.324213627782836,0.8357633152027513,1,0.5229675562274123,0.25939592760297286,2.9883468899641454,0.10228804960665727,-25.213854,0.30055922,3.735970673548088,0.2802881343795216,-0.0,0.16766896445110696,3.6863724095389534,0.036866572040222784,-0.0,0.7406040723970271,-0.10228804960665727,0.6994408,-0.2802881343795216,0.8323310355488931,-0.036866572040222784,0.7489815,0.71354425,0.74575245,-0.71354425,0.06396970836498991,0.9360302916350101,tick:0.2594; scissors:0.1571; ant:0.0814,face:0.3006; dalmatian:0.0203; flamingo_head:0.0176,face:0.1677; tick:0.1308; scissors:0.0830
4,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0425.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.22278063650453495,0.18653559722683388,0,0.0,0.4292097906677427,1.8994684242811026,0.11638282943635841,-26.621496,0.37562636,3.459730527762194,0.3545824302465277,-5.9604645e-08,0.40241805104316763,2.9023801125261834,0.24101494186611827,-0.0,0.5707902093322573,-0.11638282943635841,0.6243737,-0.3545824302465277,0.5975819489568324,-0.24101494186611827,0.87487537,0.7468498,0.84625924,-0.7468498,0.19036730460045612,0.8096326953995439,face:0.4292; cougar_face:0.3128; cougar_body:0.0439,face:0.3756; panda:0.0210; dalmatian:0.0164,face:0.4024; cougar_face:0.1614; buddha:0.0264
5,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0200.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.1664832688376665,0.03319379989566795,0,0.0,0.44891973026072596,2.5885118226672414,0.38111299011609356,-25.054684,0.88828325,0.8463902731935088,0.8842449542423131,3.7252903e-08,0.6686014837843666,1.8839343167680414,0.6337196779900787,8.940697e-08,0.551080269739274,-0.38111299011609356,0.11171675,-0.8842449542423131,0.33139851621563343,-0.6337196779900787,0.9344012,0.8541051,0.93082494,-0.8541051,0.36487421971807565,0.6351257802819243,face:0.4489; cougar_face:0.0678; cellphone:0.0464,face:0.8883; wheelchair:0.0040; dalmatian:0.0037,face:0.6686; cougar_face:0.0349; cellphone:0.0240
6,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0286.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.11777322373290941,0.035589318156302285,0,0.0,0.4197974335787663,2.7333373588165655,0.3514768562795718,-26.551294,0.6309736,2.3074218871822048,0.6182339118063908,2.0861626e-07,0.5253855379143689,2.638152846732294,0.4892194279650173,-0.0,0.5802025664212337,-0.3514768562795718,0.36902642,-0.6182339118063908,0.4746144620856311,-0.4892194279650173,0.9026139,0.8027817,0.89636785,-0.8027817,0.33066696541805496,0.669333034581945,face:0.4198; platypus:0.0683; brontosaurus:0.0594,face:0.6310; anchor:0.0127; wheelchair:0.0113,face:0.5254; platypus:0.0362; brontosaurus:0.0324
7,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0268.jpg,0,face,24,0,24,cougar_face,face,cougar_face,0,1,0,1,0,1,0.39761492489558825,0.6302617757913382,1,0.5119274668255679,0.5672651723413507,1.5572966123024685,0.35647818598582726,-27.514189,0.16657078,4.186998597605798,0.1310162829309255,-1.1920929e-07,0.2891933362573899,3.2697625298497215,0.10051445257304331,1.1920929e-07,0.43273482765864935,-0.35647818598582726,0.8334292,-0.1310162829309255,0.71080666374261,-0.10051445257304331,0.7803115,0.73536557,0.7718409,-0.73536557,0.09678250130982456,0.9032174986901754,cougar_face:0.5673; face:0.2108; cougar_body:0.0975,face:0.1666; dalmatian:0.0356; hedgehog:0.0186,cougar_face:0.2892; face:0.1887; cougar_body:0.0533
8,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0372.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.19764087005273956,0.25497692439353203,0,0.0,0.37397847010777174,2.1178528724765275,0.0395235889917277,-27.989107,0.80116343,1.3816762929058843,0.7893046727593205,-2.9802322e-08,0.5875709657890495,1.9474054527439455,0.4175657906006499,-5.9604645e-08,0.6260215298922283,-0.0395235889917277,0.19883657,-0.7893046727593205,0.41242903421095045,-0.4175657906006499,0.93821526,0.82864237,0.9303621,-0.82864237,0.2955284579832648,0.7044715420167351,face:0.3740; flamingo_head:0.3345; crocodile_head:0.0359,face:0.8012; dalmatian:0.0119; flamingo_head:0.0056,face:0.5876; flamingo_head:0.1700; crocodile_head:0.0196
9,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0157.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.2496036505499303,0.17829859450693974,0,0.0,0.28805572720780087,2.9022227729668937,0.15615709913862022,-26.181547,0.87240535,0.9521986393876528,0.8683467713403515,1.6391277e-07,0.5802306098771691,2.1768143567272036,0.5137774326105823,5.9604645e-08,0.7119442727921992,-0.15615709913862022,0.12759465,-0.8683467713403515,0.4197693901228309,-0.5137774326105823,0.9466233,0.8627993,0.9386511,-0.8627993,0.2581076061848978,0.7418923938151022,face:0.2881; cougar_face:0.1319; tick:0.1104,face:0.8724; brain:0.0041; anchor:0.0033,face:0.5802; cougar_face:0.0665; tick:0.0560
10,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0024.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.17909431251307556,0.15004952578499464,0,0.0,0.3629573331477726,2.4490556943992963,0.18750120987474017,-27.870989,0.52772963,2.807390595693556,0.5124651924397318,-0.0,0.4453434959392625,2.8073174575595017,0.35353240229562727,5.9604645e-08,0.6370426668522273,-0.18750120987474017,0.47227037,-0.5124651924397318,0.5546565040607375,-0.35353240229562727,0.93953305,0.8096706,0.9250711,-0.8096706,0.23495129377542529,0.7650487062245748,face:0.3630; cougar_face:0.1755; garfield:0.1452,face:0.5277; anchor:0.0153; dalmatian:0.0140,face:0.4453; cougar_face:0.0918; garfield:0.0753
