sample_index,path,y,y_name,pred_text,pred_support,pred_final,pred_text_name,pred_support_name,pred_final_name,correct_text,correct_support,correct_final,error_text,error_support,error_final,js_text_support,one_minus_cos_text_support,top1_disagree_text_support,margin_conflict_text_support,msp_text,entropy_text,margin_text,energy_text,msp_support,entropy_support,margin_support,energy_support,msp_final,entropy_final,margin_final,energy_final,one_minus_msp_text,neg_margin_text,one_minus_msp_support,neg_margin_support,one_minus_msp_final,neg_margin_final,support_density_maxsim,support_density_topk_mean,support_density_top5_mean,ignorance_score,conflict_aware_confidence,conflict_aware_error_score,top3_text,top3_support,top3_final
0,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0426.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.1045244234247624,0.39612271386955955,0,0.0,0.060449815961788396,4.251888900582355,0.0012445742115810635,-27.941715,0.25670177,3.8778979256598394,0.23119662368891897,-1.1920929e-07,0.15857578881939174,4.1694178365458585,0.1254463111335818,-1.1920929e-07,0.9395501840382116,-0.0012445742115810635,0.74329823,-0.23119662368891897,0.8414242111806083,-0.1254463111335818,0.8551416,0.7424289,0.81801635,-0.7424289,0.10414651608958413,0.8958534839104159,face:0.0604; cougar_face:0.0592; platypus:0.0470,face:0.2567; brain:0.0255; panda:0.0225,face:0.1586; cougar_face:0.0331; platypus:0.0285
1,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0239.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.3279043936910927,0.6462460549380259,0,0.0,0.04240494471165687,4.306216197206481,0.009981741322178286,-27.078775,0.7451045,1.7096753179090447,0.7358007679050715,-2.0861626e-07,0.39375469210194636,3.335850151248856,0.37566697473973887,5.9604645e-08,0.9575950552883431,-0.009981741322178286,0.2548955,-0.7358007679050715,0.6062453078980536,-0.37566697473973887,0.9011686,0.80574256,0.8934043,-0.80574256,0.14917651635699586,0.8508234836430042,face:0.0424; menorah:0.0324; gerenuk:0.0312,face:0.7451; brain:0.0093; wheelchair:0.0083,face:0.3938; menorah:0.0181; gerenuk:0.0174
2,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0353.jpg,0,face,24,0,0,cougar_face,face,face,0,1,1,1,0,0,0.2109595029771225,0.5043634711814414,1,0.560236743382642,0.069943307886524,4.223001903811989,0.004873826642330173,-27.406563,0.561661,2.626397058576202,0.53422252156577,5.9604645e-08,0.3133652366344394,3.635658984171217,0.27524454504899076,-0.0,0.930056692113476,-0.004873826642330173,0.438339,-0.53422252156577,0.6866347633655606,-0.27524454504899076,0.93065625,0.8529724,0.92718714,-0.8529724,0.1525041929262232,0.8474958070737768,cougar_face:0.0699; face:0.0651; snoopy:0.0389,face:0.5617; dalmatian:0.0274; anchor:0.0109,face:0.3134; cougar_face:0.0381; dalmatian:0.0225
3,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0320.jpg,0,face,90,0,0,tick,face,face,0,1,1,1,0,0,0.14663597392339656,0.6909162343458117,1,0.3412362716974222,0.060377491660017914,4.32131908602323,0.016356695050163725,-26.95971,0.30055922,3.735970673548088,0.2802881343795216,-0.0,0.15902538874462455,4.175280853709056,0.1277322143052178,-0.0,0.9396225083399821,-0.016356695050163725,0.6994408,-0.2802881343795216,0.8409746112553754,-0.1277322143052178,0.7489815,0.71354425,0.74575245,-0.71354425,0.09175354014454815,0.9082464598554518,tick:0.0604; scissors:0.0440; ant:0.0333,face:0.3006; dalmatian:0.0203; flamingo_head:0.0176,face:0.1590; tick:0.0313; scissors:0.0265
4,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0425.jpg,0,face,24,0,0,cougar_face,face,face,0,1,1,1,0,0,0.13626715442589718,0.46133665604756835,1,0.3925237929598226,0.09989662457543706,4.125421436649534,0.02687673866394473,-27.56474,0.37562636,3.459730527762194,0.3545824302465277,-5.9604645e-08,0.22432309866504233,3.9288431366317607,0.16938515781596655,-1.1920929e-07,0.900103375424563,-0.02687673866394473,0.6243737,-0.3545824302465277,0.7756769013349577,-0.16938515781596655,0.87487537,0.7468498,0.84625924,-0.7468498,0.13341957173784938,0.8665804282621506,cougar_face:0.0999; face:0.0730; cougar_body:0.0428,face:0.3756; panda:0.0210; dalmatian:0.0164,face:0.2243; cougar_face:0.0549; cougar_body:0.0258
5,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0200.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.4204891076230944,0.5571959573313487,0,0.0,0.06044981781108301,4.227934806862534,0.017604749747617283,-26.336239,0.88828325,0.8463902731935088,0.8842449542423131,3.7252903e-08,0.4743665275595451,2.957651647651116,0.45196555780584063,-5.9604645e-08,0.939550182188917,-0.017604749747617283,0.11171675,-0.8842449542423131,0.5256334724404549,-0.45196555780584063,0.9344012,0.8541051,0.93082494,-0.8541051,0.15290083958981954,0.8470991604101805,face:0.0604; cougar_face:0.0428; gerenuk:0.0368,face:0.8883; wheelchair:0.0040; dalmatian:0.0037,face:0.4744; cougar_face:0.0224; gerenuk:0.0194
6,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0286.jpg,0,face,0,0,0,face,face,face,1,1,1,0,0,0,0.24454813868704628,0.5600882886572268,0,0.0,0.05156393187862907,4.324995422703443,0.006526921532106246,-28.506996,0.6309736,2.3074218871822048,0.6182339118063908,2.0861626e-07,0.3412687870643004,3.5607567936298707,0.3167444605912845,-0.0,0.9484360681213709,-0.006526921532106246,0.36902642,-0.6182339118063908,0.6587312129356996,-0.3167444605912845,0.9026139,0.8027817,0.89636785,-0.8027817,0.15353513258304174,0.8464648674169583,face:0.0516; platypus:0.0450; cougar_face:0.0344,face:0.6310; anchor:0.0127; wheelchair:0.0113,face:0.3413; platypus:0.0245; cougar_face:0.0201
7,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0268.jpg,0,face,24,0,0,cougar_face,face,face,0,1,1,1,0,0,0.12678287360339457,0.501667508906561,1,0.2396438302010243,0.14670517817860346,3.951042185514254,0.07800732594542692,-27.955534,0.16657078,4.186998597605798,0.1310162829309255,-1.1920929e-07,0.11454070491524476,4.195803265163419,0.03562736573922849,-0.0,0.8532948218213965,-0.07800732594542692,0.8334292,-0.1310162829309255,0.8854592950847553,-0.03562736573922849,0.7803115,0.73536557,0.7718409,-0.73536557,0.07010202441285769,0.9298979755871423,cougar_face:0.1467; cougar_body:0.0687; face:0.0625,face:0.1666; dalmatian:0.0356; hedgehog:0.0186,face:0.1145; cougar_face:0.0789; cougar_body:0.0389
8,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0372.jpg,0,face,41,0,0,flamingo_head,face,face,0,1,1,1,0,0,0.34871279351016754,0.6338194883046145,1,0.8467337925354679,0.10758919158371955,4.168435170955953,0.05112580032589574,-29.610634,0.80116343,1.3816762929058843,0.7893046727593205,-2.9802322e-08,0.42881342636407543,3.1237685254410867,0.37224109594183813,1.1920929e-07,0.8924108084162805,-0.05112580032589574,0.19883657,-0.7893046727593205,0.5711865736359245,-0.37224109594183813,0.93821526,0.82864237,0.9303621,-0.82864237,0.1562979509265368,0.8437020490734632,flamingo_head:0.1076; face:0.0565; gerenuk:0.0405,face:0.8012; dalmatian:0.0119; flamingo_head:0.0056,face:0.4288; flamingo_head:0.0566; dalmatian:0.0221
9,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0157.jpg,0,face,24,0,0,cougar_face,face,face,0,1,1,1,0,0,0.4323270712689785,0.6966980880557005,1,0.8808819883999899,0.04903818530881675,4.2829258762170035,0.005016369904572444,-28.25715,0.87240535,0.9521986393876528,0.8683467713403515,1.6391277e-07,0.45597972776895407,3.0498893290713065,0.4309567718825491,-0.0,0.9509618146911832,-0.005016369904572444,0.12759465,-0.8683467713403515,0.5440202722310459,-0.4309567718825491,0.9466233,0.8627993,0.9386511,-0.8627993,0.14422274436357002,0.85577725563643,cougar_face:0.0490; flamingo_head:0.0440; face:0.0396,face:0.8724; brain:0.0041; anchor:0.0033,face:0.4560; cougar_face:0.0250; flamingo_head:0.0232
