sample_index,path,y,y_name,pred_text,pred_support,pred_final,pred_text_name,pred_support_name,pred_final_name,correct_text,correct_support,correct_final,error_text,error_support,error_final,js_text_support,one_minus_cos_text_support,top1_disagree_text_support,margin_conflict_text_support,msp_text,entropy_text,margin_text,energy_text,msp_support,entropy_support,margin_support,energy_support,msp_final,entropy_final,margin_final,energy_final,one_minus_msp_text,neg_margin_text,one_minus_msp_support,neg_margin_support,one_minus_msp_final,neg_margin_final,support_density_maxsim,support_density_topk_mean,support_density_top5_mean,ignorance_score,conflict_aware_confidence,conflict_aware_error_score,top3_text,top3_support,top3_final
0,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0426.jpg,0,face,66,0,66,octopus,face,octopus,0,1,0,1,0,1,0.42668912393445557,0.9231703981865835,1,0.7178477433146998,0.4765849920745437,2.337619735537398,0.3382794425240132,-26.33908,0.25670177,3.8778979256598394,0.23119662368891897,-1.1920929e-07,0.24524027777179877,3.534447954533074,0.11611767344940851,-0.0,0.5234150079254563,-0.3382794425240132,0.74329823,-0.23119662368891897,0.7547597222282012,-0.11611767344940851,0.8551416,0.7424289,0.81801635,-0.7424289,0.07826536903405652,0.9217346309659434,octopus:0.4766; laptop:0.1383; watch:0.0655,face:0.2567; brain:0.0255; panda:0.0225,octopus:0.2452; face:0.1291; laptop:0.0730
1,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0239.jpg,0,face,66,0,0,octopus,face,face,0,1,1,1,0,0,0.5062229270553262,0.988081726210197,1,1.045783129663853,0.30461566542558655,3.1646535366560675,0.24897933111303083,-25.197866,0.7451045,1.7096753179090447,0.7358007679050715,-2.0861626e-07,0.37265257872747454,2.9433873543378826,0.21847661736905322,-0.0,0.6953843345744135,-0.24897933111303083,0.2548955,-0.7358007679050715,0.6273474212725254,-0.21847661736905322,0.9011686,0.80574256,0.8934043,-0.80574256,0.10553397927232135,0.8944660207276787,octopus:0.3046; airplane:0.0556; chandelier:0.0491,face:0.7451; brain:0.0093; wheelchair:0.0083,face:0.3727; octopus:0.1542; airplane:0.0282
2,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0353.jpg,0,face,66,0,0,octopus,face,face,0,1,1,1,0,0,0.4957499097860659,0.976623232427524,1,1.0545417971489819,0.5026406306589366,2.0813148047526453,0.3066597373892035,-26.001396,0.561661,2.626397058576202,0.53422252156577,5.9604645e-08,0.2822360289703839,2.84960584145049,0.027441333831637216,-0.0,0.4973593693410634,-0.3066597373892035,0.438339,-0.53422252156577,0.7177639710296161,-0.027441333831637216,0.93065625,0.8529724,0.92718714,-0.8529724,0.08113145973879259,0.9188685402612075,octopus:0.5026; laptop:0.1960; windsor_chair:0.0626,face:0.5617; dalmatian:0.0274; anchor:0.0109,face:0.2822; octopus:0.2548; laptop:0.0998
3,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0320.jpg,0,face,61,0,0,mayfly,face,face,0,1,1,1,0,0,0.3666488560513389,0.8842169038915618,1,0.5343301133161833,0.25939592760297286,2.9883468899641454,0.1022880496066573,-25.213854,0.30055922,3.735970673548088,0.2802881343795216,-0.0,0.16150224440041946,3.728807637807456,0.0302144104832332,-1.1920929e-07,0.7406040723970271,-0.1022880496066573,0.6994408,-0.2802881343795216,0.8384977555995805,-0.0302144104832332,0.7489815,0.71354425,0.74575245,-0.71354425,0.057002583760898735,0.9429974162391013,mayfly:0.2594; dolphin:0.1571; airplane:0.0814,face:0.3006; dalmatian:0.0203; flamingo_head:0.0176,face:0.1615; mayfly:0.1313; dolphin:0.0812
4,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0425.jpg,0,face,66,0,66,octopus,face,octopus,0,1,0,1,0,1,0.5111449000064618,0.9666167665956084,1,0.7955876837953986,0.4292097906677427,1.8994684242811026,0.11638282943635841,-26.621496,0.37562636,3.459730527762194,0.3545824302465277,-5.9604645e-08,0.21908699738932386,3.1907443760281105,0.031131734590011867,1.1920929e-07,0.5707902093322573,-0.11638282943635841,0.6243737,-0.3545824302465277,0.7809130026106761,-0.031131734590011867,0.87487537,0.7468498,0.84625924,-0.7468498,0.06161529032615803,0.938384709673842,octopus:0.4292; laptop:0.3128; cup:0.0439,face:0.3756; panda:0.0210; dalmatian:0.0164,octopus:0.2191; face:0.1880; laptop:0.1587
5,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0200.jpg,0,face,66,0,0,octopus,face,face,0,1,1,1,0,0,0.595444381495876,0.9963602788729834,1,1.3356127912596143,0.44891973026072596,2.5885118226672406,0.3811129901160935,-25.054684,0.88828325,0.8463902731935088,0.8842449542423131,3.7252903e-08,0.4442132142341276,2.3128954294262516,0.21902985652932905,-0.0,0.551080269739274,-0.3811129901160935,0.11171675,-0.8842449542423131,0.5557867857658725,-0.21902985652932905,0.9344012,0.8541051,0.93082494,-0.8541051,0.11168932098024521,0.8883106790197548,octopus:0.4489; laptop:0.0678; binocular:0.0464,face:0.8883; wheelchair:0.0040; dalmatian:0.0037,face:0.4442; octopus:0.2252; laptop:0.0348
6,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0286.jpg,0,face,66,0,0,octopus,face,face,0,1,1,1,0,0,0.47150350365309185,0.9793257960174321,1,1.0421936840126338,0.4197974335787661,2.733337358816565,0.35147685627957187,-26.551294,0.6309736,2.3074218871822048,0.6182339118063908,2.0861626e-07,0.31563052811927295,2.9918831266524775,0.10158682241612468,-0.0,0.5802025664212339,-0.35147685627957187,0.36902642,-0.6182339118063908,0.684369471880727,-0.10158682241612468,0.9026139,0.8027817,0.89636785,-0.8027817,0.09400711281540301,0.905992887184597,octopus:0.4198; watch:0.0683; kangaroo:0.0594,face:0.6310; anchor:0.0127; wheelchair:0.0113,face:0.3156; octopus:0.2140; watch:0.0347
7,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0268.jpg,0,face,56,0,56,laptop,face,laptop,0,1,0,1,0,1,0.5222215466044996,0.9410214495877491,1,0.7268741859853087,0.5672651723413508,1.5572966123024685,0.3564781859858272,-27.514189,0.16657078,4.186998597605798,0.1310162829309255,-1.1920929e-07,0.28600901774641924,3.3943691515586325,0.17568043465307207,1.1920929e-07,0.43273482765864923,-0.3564781859858272,0.8334292,-0.1310162829309255,0.7139909822535808,-0.17568043465307207,0.7803115,0.73536557,0.7718409,-0.73536557,0.07920257131376959,0.9207974286862304,laptop:0.5673; octopus:0.2108; cup:0.0975,face:0.1666; dalmatian:0.0356; hedgehog:0.0186,laptop:0.2860; octopus:0.1103; face:0.0844
8,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0372.jpg,0,face,66,0,0,octopus,face,face,0,1,1,1,0,0,0.5651439821073685,0.9898862325919483,1,1.1709722962027886,0.3739784701077718,2.1178528724765275,0.0395235889917277,-27.989107,0.80116343,1.3816762929058843,0.7893046727593205,-2.9802322e-08,0.4008767152938645,2.314908564798574,0.21209764711102422,5.9604645e-08,0.6260215298922283,-0.0395235889917277,0.19883657,-0.7893046727593205,0.5991232847061355,-0.21209764711102422,0.93821526,0.82864237,0.9303621,-0.82864237,0.10478464829319185,0.8952153517068081,octopus:0.3740; wheelchair:0.3345; emu:0.0359,face:0.8012; dalmatian:0.0119; flamingo_head:0.0056,face:0.4009; octopus:0.1888; wheelchair:0.1698
9,/root/autodl-tmp/MMRL/DATASETS/caltech-101/101_ObjectCategories/Faces/image_0157.jpg,0,face,66,0,0,octopus,face,face,0,1,1,1,0,0,0.57101353038306,0.9890110392146974,1,1.1559471646343906,0.28805572720780087,2.902222772966894,0.15615709913862025,-26.181547,0.87240535,0.9521986393876528,0.8683467713403515,1.6391277e-07,0.43710346095610786,2.4982242365603327,0.2917192844750729,5.9604645e-08,0.7119442727921992,-0.15615709913862025,0.12759465,-0.8683467713403515,0.5628965390438921,-0.2917192844750729,0.9466233,0.8627993,0.9386511,-0.8627993,0.11338412199820753,0.8866158780017924,octopus:0.2881; laptop:0.1319; mayfly:0.1104,face:0.8724; brain:0.0041; anchor:0.0033,face:0.4371; octopus:0.1454; laptop:0.0668
