dataset,sigma_mode,scheme,tag,accuracy_mean,row_count,accuracy_std_mean,macro_f1_mean,ece_mean,brier_mean,nll_mean
caltech101,global,rep_tokens,rep_zero_sig-global_pstd-1.0_kl-5e-2,96.87626957893372,1,0.0,95.24407451782832,0.6199159081760817,0.0463320575654506,0.0889021903276443
caltech101,per_token,rep_tokens,rep_zero_sig-per_token_pstd-1.0_kl-5e-2,96.95740342140198,1,0.0,95.38995664776826,0.6815334924819745,0.0462272502481937,0.0886239036917686
caltech101,diagonal,rep_tokens,rep_zero_sig-diagonal_pstd-1.0_kl-5e-2,96.91683650016785,1,0.0,95.29277451077698,0.685343193475905,0.0458604358136653,0.0881061479449272
caltech101,matrix_normal_diag,rep_tokens,rep_zero_sig-matrix_normal_diag_pstd-1.0_kl-5e-2,96.75456285476685,1,0.0,95.0144517585649,0.6793323660960788,0.0467293001711368,0.088979385793209
caltech101,matrix_normal_diag_lowrank,rep_tokens,rep_zero_sig-matrix_normal_diag_lowrank_pstd-1.0_kl-5e-2_rank-4,96.87626957893372,1,0.0,95.29883028491044,0.5894321082329894,0.0465407706797122,0.089468128979206
oxford_pets,global,rep_tokens,rep_zero_sig-global_pstd-0.1_kl-5e-2,94.30362582206726,1,0.0,94.30170158780707,0.2442306793493092,0.0865001231431961,0.1738225221633911
oxford_pets,per_token,rep_tokens,rep_zero_sig-per_token_pstd-0.1_kl-5e-2,94.27636861801147,1,0.0,94.27513516121113,0.3157944275072856,0.0865015387535095,0.1738047301769256
oxford_pets,diagonal,rep_tokens,rep_zero_sig-diagonal_pstd-0.1_kl-5e-2,94.30362582206726,1,0.0,94.30484809571034,0.3979019432829459,0.0867202803492546,0.1742632389068603
oxford_pets,matrix_normal_diag,rep_tokens,rep_zero_sig-matrix_normal_diag_pstd-0.1_kl-5e-2,94.24911141395567,1,0.0,94.2470073641357,0.4148224380367878,0.0868060812354087,0.1745966672897339
oxford_pets,matrix_normal_diag_lowrank,rep_tokens,rep_zero_sig-matrix_normal_diag_lowrank_pstd-0.5_kl-5e-2_rank-4,94.30362582206726,1,0.0,94.28109965585143,0.7327319491166253,0.0876790881156921,0.1721350401639938
ucf101,global,rep_tokens,rep_zero_sig-global_pstd-0.01_kl-1e-2,86.91514730453491,1,0.0,86.4201466567076,2.739710409805758,0.1948260366916656,0.4839378595352173
ucf101,per_token,rep_tokens,rep_zero_sig-per_token_pstd-0.01_kl-5e-2,86.91514730453491,1,0.0,86.43349088263206,2.809162732945401,0.1959608495235443,0.4898096919059753
ucf101,diagonal,rep_tokens,rep_zero_sig-diagonal_pstd-0.5_kl-5e-2,86.91514730453491,1,0.0,86.54720724515097,2.1887807793444565,0.1938233524560928,0.4718292951583862
ucf101,matrix_normal_diag,rep_tokens,rep_zero_sig-matrix_normal_diag_pstd-0.05_kl-1e-2,87.02087998390198,1,0.0,86.61997960663483,3.1010299755598605,0.1924571841955185,0.4743025302886963
ucf101,matrix_normal_diag_lowrank,rep_tokens,rep_zero_sig-matrix_normal_diag_lowrank_pstd-0.05_kl-1e-2_rank-4,87.25879192352295,1,0.0,86.87883920418523,3.025554357667213,0.1915312856435775,0.475761204957962
