stage_name,scheme,dataset,shot,tag,case_root,split,num_seeds,seeds,accuracy_mean,accuracy_std,brier_mean,brier_std,ece_mean,ece_std,error_mean,error_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std
stage10_schemeC_alpha_first,C,caltech101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.0,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.0,test,2,1 2,95.7200825214386,0.22312402725219727,0.06495587155222893,0.0007998310029506683,1.7770248155806658,0.00453362056256279,4.279917478561401,0.22312402725219727,93.79896488903782,0.23476462961186684,0.14673570543527603,0.005515448749065399
stage10_schemeC_alpha_first,C,caltech101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.3,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.3,test,2,1 2,96.32860124111176,0.06085336208343506,0.05442902632057667,0.001072155311703682,1.4304280643772644,0.037804050087686836,3.6713987588882446,0.06085336208343506,94.58154073663931,0.30317976191224005,0.11368799954652786,0.0030208155512809753
stage10_schemeC_alpha_first,C,caltech101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.5,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.5,test,2,1 2,96.79513275623322,0.12170374393463135,0.04834548942744732,0.0027015749365091324,1.0943824584779103,0.05268188567480736,3.2048672437667847,0.12170374393463135,95.21899107715842,0.2635630511840219,0.0985862985253334,0.006047114729881287
stage10_schemeC_alpha_first,C,caltech101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.7,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.7,test,2,1 2,96.95740342140198,0.04056692123413086,0.047273263335227966,0.0011205412447452545,0.9839782980223455,0.06336983059047435,3.0425965785980225,0.04056692123413086,95.47393452926592,0.10094932505508325,0.09652943536639214,0.0031123049557209015
stage10_schemeC_alpha_first,C,caltech101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-1.0,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-1.0,test,2,1 2,96.75456285476685,0.04056692123413086,0.05001353658735752,0.0002869274467229843,0.586836206260124,0.006593953039776723,3.2454371452331543,0.04056692123413086,95.1909123935038,0.001670764516653378,0.10379387810826302,0.0004450790584087372
stage10_schemeC_alpha_first,C,oxford_pets,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.0,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/oxford_pets/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.0,test,2,1 2,92.09593832492828,0.5451053380966187,0.12344624847173691,0.006550230085849762,3.7484882263891635,0.477301619559096,7.904061675071716,0.5451053380966187,92.03973157112947,0.5672107039846424,0.29409581422805786,0.019232362508773804
stage10_schemeC_alpha_first,C,oxford_pets,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.3,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/oxford_pets/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.3,test,2,1 2,93.1725263595581,0.14990568161010742,0.10645824298262596,0.0027822963893413544,2.6643695266606144,0.22619230589966732,6.8274736404418945,0.14990568161010742,93.1291276742997,0.177377259827864,0.23395666480064392,0.01196327805519104
stage10_schemeC_alpha_first,C,oxford_pets,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.5,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/oxford_pets/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.5,test,2,1 2,93.74489188194275,0.23167133331298828,0.09777053445577621,0.004435218870639801,1.9891471771330949,0.3296160777539834,6.255108118057251,0.23167133331298828,93.7204458873497,0.2463596814433231,0.21063490211963654,0.012704133987426758
stage10_schemeC_alpha_first,C,oxford_pets,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.7,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/oxford_pets/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.7,test,2,1 2,94.00381445884705,0.2725541591644287,0.09275731071829796,0.005324523895978928,1.2597458239601107,0.4125311986956229,5.996185541152954,0.2725541591644287,93.95297537873819,0.30010753989969174,0.19541624933481216,0.01567152887582779
stage10_schemeC_alpha_first,C,oxford_pets,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-1.0,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/oxford_pets/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-1.0,test,2,1 2,93.7721461057663,0.5587369203567505,0.09487571939826012,0.006188403815031052,1.1097669674545063,0.35199791834704663,6.227853894233704,0.5587369203567505,93.71580040010468,0.5784091887329197,0.1981291100382805,0.015444107353687286
stage10_schemeC_alpha_first,C,ucf101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.0,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/ucf101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.0,test,2,1 2,81.41686618328094,0.3965109586715698,0.279385969042778,0.002339288592338562,8.414038669336671,0.3920848775549661,18.583133816719055,0.3965109586715698,80.35689695322223,0.3937671533945917,0.8399185836315155,0.002857714891433716
stage10_schemeC_alpha_first,C,ucf101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.3,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/ucf101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.3,test,2,1 2,85.21015048027039,0.039649009704589844,0.21760012954473495,0.002953164279460907,5.78029145351989,0.13534139320864869,14.789849519729614,0.039649009704589844,84.43553506458082,0.019096083925596474,0.5881078541278839,0.019949406385421753
stage10_schemeC_alpha_first,C,ucf101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.5,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/ucf101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.5,test,2,1 2,86.32037937641144,0.27755796909332275,0.19690942019224167,0.0034707114100456238,4.383069600002998,0.3973422636517512,13.679620623588562,0.27755796909332275,85.6035352645352,0.362984992965373,0.49531368911266327,0.007550135254859924
stage10_schemeC_alpha_first,C,ucf101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.7,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/ucf101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-0.7,test,2,1 2,87.33808994293213,0.2114713191986084,0.18413617461919785,0.0020299330353736877,2.8466031294066916,0.41140370738591403,12.661910057067871,0.2114713191986084,86.8067342497126,0.3236773881974102,0.4427856355905533,0.005226001143455505
stage10_schemeC_alpha_first,C,ucf101,16,C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-1.0,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/ucf101/shots_16/ViT-B-16/C_anchor_sig-row_pmode-self_proj_rep_pstd-0.01_kl-1e-5_alpha-1.0,test,1,1,86.99445128440857,0.0,0.18642190098762512,0.0,2.1507433134823164,0.0,13.00554871559143,0.0,86.54481764901398,0.0,0.4542827010154724,0.0
stage20_schemeB_alpha_first,B,caltech101,16,B_anchor_sig-per_token_pstd-0.05_kl-5e-4_blend-0.5_scale-0.05_alpha-0.0,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/B_anchor_sig-per_token_pstd-0.05_kl-5e-4_blend-0.5_scale-0.05_alpha-0.0,test,1,1,95.45639157295227,0.0,0.07023128867149353,0.0,2.309390703031064,0.0,4.5436084270477295,0.0,93.39308836222806,0.0,0.16598689556121826,0.0
stage20_schemeB_alpha_first,B,caltech101,16,B_anchor_sig-per_token_pstd-0.05_kl-5e-4_blend-0.5_scale-0.05_alpha-0.3,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/B_anchor_sig-per_token_pstd-0.05_kl-5e-4_blend-0.5_scale-0.05_alpha-0.3,test,1,1,96.59228920936584,0.0,0.0570903904736042,0.0,1.8471864488497225,0.0,3.4077107906341553,0.0,95.01555499496816,0.0,0.12274687737226486,0.0
stage20_schemeB_alpha_first,B,caltech101,16,B_anchor_sig-per_token_pstd-0.05_kl-5e-4_blend-0.5_scale-0.05_alpha-0.5,output_sweeps/bayes_mmrl_search_current/coarse3/alpha_stage/BayesMMRL/FS/fewshot_train/caltech101/shots_16/ViT-B-16/B_anchor_sig-per_token_pstd-0.05_kl-5e-4_blend-0.5_scale-0.05_alpha-0.5,test,1,1,96.59228920936584,0.0,0.053968559950590134,0.0,1.3212241398635307,0.0,3.4077107906341553,0.0,94.87145802186247,0.0,0.110342837870121,0.0
