repeat,seed,loss_key,loss,loss_main,loss_rep,loss_cos_img,loss_cos_text,data_term,raw_kl_r,raw_kl_t,kl_r_term,kl_t_term,kl_beta,kl_normalizer,total
0,100017,total,3.008894920349121,2.55314040184021,3.528764247894287,0.08108758926391602,0.24504715204238892,3.008894920349121,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.008894920349121
1,100018,total,2.668558120727539,2.484811782836914,2.553741693496704,0.08108758926391602,0.24504715204238892,2.668558120727539,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.668558120727539
2,100019,total,3.2477221488952637,2.5439605712890625,4.346275329589844,0.08108758926391602,0.24504715204238892,3.2477221488952637,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.2477221488952637
3,100020,total,3.0785722732543945,2.6828160285949707,3.4584462642669678,0.08108758926391602,0.24504715204238892,3.0785722732543945,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.0785722732543945
4,100021,total,2.7319531440734863,2.615234851837158,2.460737466812134,0.08108758926391602,0.24504715204238892,2.7319531440734863,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.7319531440734863
5,100022,total,3.094857692718506,2.5667755603790283,3.783491849899292,0.08108758926391602,0.24504715204238892,3.094857692718506,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.094857692718506
6,100023,total,2.7333791255950928,2.5959813594818115,2.510416269302368,0.08108758926391602,0.24504715204238892,2.7333791255950928,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.7333791255950928
7,100024,total,2.343559503555298,2.5499014854431152,1.3185371160507202,0.08108758926391602,0.24504715204238892,2.343559503555298,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.343559503555298
8,100025,total,2.6772923469543457,2.5946311950683594,2.3266103267669678,0.08108758926391602,0.24504715204238892,2.6772923469543457,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.6772923469543457
9,100026,total,3.173170328140259,2.579282283782959,4.015351295471191,0.08108758926391602,0.24504715204238892,3.173170328140259,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.173170328140259
10,100027,total,3.3832550048828125,2.718813419342041,4.3900604248046875,0.08108758926391602,0.24504715204238892,3.3832550048828125,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.3832550048828125
11,100028,total,3.109375,2.577376365661621,3.8071467876434326,0.08108758926391602,0.24504715204238892,3.109375,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.109375
12,100029,total,3.2265431880950928,2.5100350379943848,4.354837417602539,0.08108758926391602,0.24504715204238892,3.2265431880950928,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.2265431880950928
13,100030,total,2.861546277999878,2.5760138034820557,2.9842309951782227,0.08108758926391602,0.24504715204238892,2.861546277999878,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.861546277999878
14,100031,total,2.917630195617676,2.5265908241271973,3.2864973545074463,0.08108758926391602,0.24504715204238892,2.917630195617676,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.917630195617676
15,100032,total,2.521352529525757,2.7126238346099854,1.5314949750900269,0.08108758926391602,0.24504715204238892,2.521352529525757,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.521352529525757
16,100033,total,3.124769687652588,2.549551486968994,3.9233875274658203,0.08108758926391602,0.24504715204238892,3.124769687652588,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.124769687652588
17,100034,total,2.5931029319763184,2.6747071743011475,1.8591351509094238,0.08108758926391602,0.24504715204238892,2.5931029319763184,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.5931029319763184
18,100035,total,2.9955203533172607,2.6773459911346436,3.1943695545196533,0.08108758926391602,0.24504715204238892,2.9955203533172607,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,2.9955203533172607
19,100036,total,3.1010634899139404,2.595609664916992,3.7368979454040527,0.08108758926391602,0.24504715204238892,3.1010634899139404,1.3969838619232178e-09,3.725290298461914e-09,1.3969837927511192e-13,7.10542746348012e-16,1.0,1.0,3.1010634899139404
